Time (ns),Br25 ref,Br25 IMN,Br25 EDA,EDA ref,EDA IMN,EDA EDA,IMN ref,IMN IMN,IMN EDA
18.176,2,2,2,1,2,4,2,4,3
18.304,3,6,1,2,4,3,2,5,4
18.432,5,0,2,4,2,4,2,5,4
18.56,3,3,2,4,3,2,2,4,5
18.688,2,1,3,3,3,1,1,0,3
18.816,3,2,0,3,3,1,2,2,5
18.944,1,2,1,4,2,3,2,0,4
19.072,1,8,3,3,4,3,0,3,4
19.2,5,1,3,2,1,1,1,2,2
19.328,5,0,0,4,2,4,1,3,4
19.456,2,7,1,3,2,2,0,4,5
19.584,4,5,2,2,0,0,0,1,4
19.712,2,1,2,2,2,1,2,2,2
19.84,3,6,3,5,4,2,1,3,7
19.968,3,3,3,3,0,1,1,2,4
20.096,5,5,3,2,6,6,4,0,3
20.224,1,3,2,3,3,1,0,3,4
20.352,4,3,1,4,6,4,3,2,2
20.48,1,2,5,1,2,1,0,4,2
20.608,3,4,3,2,2,2,1,2,5
20.736,1,1,2,3,2,2,3,1,2
20.864,1,4,2,4,1,0,1,2,2
20.992,0,1,3,4,8,1,3,1,7
21.12,1,3,1,4,1,1,1,1,6
21.248,0,2,3,4,2,2,1,3,4
21.376,4,2,3,5,3,3,6,0,5
21.504,5,3,1,3,4,4,1,2,8
21.632,1,6,2,4,1,3,4,0,3
21.76,2,3,0,4,4,2,2,7,1
21.888,3,2,0,1,4,0,1,2,1
22.016,3,2,4,4,2,1,2,2,5
22.144,4,2,5,6,4,2,1,2,2
22.272,0,7,3,2,5,3,3,5,4
22.4,3,1,3,2,1,3,3,4,3
22.528,0,3,3,2,2,0,0,4,5
22.656,2,6,1,2,2,1,1,1,3
22.784,3,1,3,2,3,1,1,1,6
22.912,1,2,3,3,2,1,1,3,3
23.04,0,2,3,2,1,2,2,5,2
23.168,2,1,4,2,2,2,3,1,9
23.296,2,4,2,2,0,2,4,2,2
23.424,4,1,1,1,3,1,4,3,7
23.552,3,0,3,1,0,0,2,3,4
23.68,2,1,1,1,2,1,3,4,2
23.808,1,5,2,1,6,2,3,1,4
23.936,6,5,2,3,5,3,3,1,3
24.064,1,2,0,5,2,4,1,3,2
24.192,0,2,4,6,2,1,1,3,3
24.32,2,2,2,1,0,4,1,3,0
24.448,2,4,0,2,2,2,4,4,3
24.576,3,4,3,2,5,0,3,2,3
24.704,4,5,1,4,2,0,3,4,2
24.832,1,1,1,2,2,2,1,4,3
24.96,2,3,2,0,7,2,0,2,4
25.088,2,2,4,4,1,1,1,2,2
25.216,1,4,3,4,1,0,2,1,2
25.344,3,3,0,2,5,2,0,5,2
25.472,5,1,1,2,4,1,1,5,4
25.6,2,2,1,5,1,2,1,4,3
25.728,3,2,1,5,3,3,3,0,4
25.856,2,1,5,1,4,2,1,1,5
25.984,2,2,7,1,3,1,4,1,1
26.112,2,0,5,3,1,0,1,4,0
26.24,2,2,3,7,4,1,8,3,4
26.368,2,2,1,1,2,1,1,2,2
26.496,2,1,0,3,1,3,1,3,4
26.624,1,6,6,3,8,6,3,3,5
26.752,0,2,3,2,2,1,0,2,2
26.88,4,0,1,0,1,1,3,3,3
27.008,2,5,5,0,4,5,2,3,4
27.136,0,1,5,5,2,4,3,1,6
27.264,1,0,6,3,3,1,1,0,3
27.392,1,4,2,1,1,1,2,4,4
27.52,3,0,4,2,1,1,1,3,3
27.648,1,0,5,1,1,1,2,4,2
27.776,2,2,4,1,3,4,0,2,1
27.904,6,3,4,0,1,2,1,2,6
28.032,4,2,3,1,1,2,1,5,0
28.16,0,3,0,6,3,0,1,1,5
28.288,2,4,0,2,4,1,1,1,4
28.416,4,3,1,5,4,3,2,2,3
28.544,6,1,4,1,8,0,2,1,1
28.672,4,2,5,2,1,0,0,6,5
28.8,2,4,3,1,2,3,1,3,1
28.928,1,1,1,1,3,1,4,3,4
29.056,3,1,3,4,2,0,5,3,4
29.184,2,0,3,1,2,0,1,4,2
29.312,1,2,1,4,3,1,0,1,4
29.44,0,2,2,1,3,1,5,3,2
29.568,1,0,2,4,4,3,2,4,1
29.696,0,2,3,6,1,3,2,3,1
29.824,5,3,3,5,1,6,5,2,4
29.952,1,1,1,4,4,0,3,1,4
30.08,2,1,0,5,1,1,1,2,4
30.208,1,5,2,2,1,4,0,1,3
30.336,2,3,2,6,2,0,4,0,4
30.464,1,0,3,5,3,4,2,6,2
30.592,5,7,4,1,2,0,2,3,6
30.72,9,6,3,3,5,4,1,1,4
