#PicoHarp 300  Histogram Data			04/11/2023 03:56:27 PM
#channels per curve
19141
#display curve no.
0	1	2	3	4	
#memory block no.
0	1	2	3	4	
#ns/channel
0.5120	0.5120	0.5120	0.5120	0.5120	
#counts
31	50	55	54	60	
30	31	54	64	60	
34	49	46	63	59	
29	40	51	52	58	
30	46	52	51	57	
34	52	66	53	58	
29	31	56	57	60	
45	48	63	62	65	
33	50	59	42	50	
23	44	48	51	73	
28	39	43	68	57	
27	35	34	53	58	
36	50	57	78	57	
26	48	65	71	50	
39	54	56	53	59	
26	49	62	57	49	
28	44	59	53	65	
25	47	60	66	83	
21	41	48	68	54	
34	41	52	50	63	
28	36	63	69	61	
34	40	45	59	58	
30	49	50	55	60	
32	47	58	61	56	
21	41	59	45	58	
31	51	60	64	61	
29	48	43	69	79	
21	36	40	55	56	
29	46	50	49	67	
27	37	52	57	60	
26	41	59	50	66	
23	43	63	54	45	
24	59	45	64	49	
31	42	54	70	49	
27	44	43	56	55	
34	62	48	45	57	
28	38	65	58	59	
31	53	56	44	57	
37	49	60	50	50	
24	44	58	61	50	
25	35	49	56	58	
25	39	66	69	54	
32	37	47	70	61	
27	59	49	59	58	
19	32	55	60	59	
20	35	53	62	52	
25	42	52	56	55	
21	47	52	59	55	
43	49	53	67	49	
35	48	49	51	50	
35	50	52	63	63	
28	40	53	62	63	
21	51	58	62	58	
20	50	50	51	53	
24	43	49	51	64	
20	40	58	62	66	
26	52	43	60	60	
29	41	50	71	43	
19	46	53	52	50	
29	40	48	61	46	
43	48	57	58	55	
22	44	59	42	43	
27	43	45	57	71	
23	34	51	58	57	
29	41	59	58	54	
22	40	39	57	61	
30	46	71	58	47	
24	51	54	50	48	
33	40	46	64	55	
33	49	48	58	62	
25	43	41	54	52	
30	35	50	45	53	
19	43	62	54	59	
34	47	45	49	45	
27	39	55	53	68	
25	41	61	48	49	
30	45	50	65	49	
26	41	50	58	64	
33	35	51	76	58	
36	43	54	47	61	
30	37	57	54	68	
25	36	61	47	65	
25	54	54	51	57	
34	41	44	47	55	
28	48	49	58	63	
29	41	54	70	43	
28	38	52	68	54	
22	41	56	56	56	
25	45	48	53	61	
22	55	61	53	43	
22	42	37	56	62	
26	35	54	68	47	
30	45	46	62	48	
24	41	53	67	53	
28	33	39	47	58	
30	41	44	64	64	
31	40	49	53	47	
27	25	60	65	63	
20	52	56	55	60	
22	40	52	59	53	
31	39	54	53	55	
27	44	43	57	48	
24	43	54	64	49	
31	44	61	55	64	
29	40	53	51	62	
22	38	54	64	52	
20	40	37	58	57	
23	47	47	50	56	
33	47	60	57	64	
22	22	64	54	75	
16	41	40	47	61	
20	50	59	56	60	
24	32	43	59	52	
25	32	53	68	65	
28	48	44	60	57	
27	38	43	53	54	
21	41	54	60	53	
32	31	55	60	62	
28	33	48	49	58	
31	45	47	70	50	
28	30	51	47	54	
20	41	50	51	48	
27	41	58	45	70	
30	42	45	54	53	
32	41	57	74	54	
25	50	48	53	64	
16	41	50	56	70	
27	31	61	60	57	
22	39	55	55	53	
21	44	52	53	52	
20	45	53	63	64	
24	42	57	55	62	
28	42	49	52	58	
21	36	50	72	59	
25	38	63	61	42	
25	39	56	63	53	
19	39	52	62	56	
33	37	52	63	58	
21	44	59	45	48	
17	42	41	47	50	
31	30	44	66	57	
14	37	43	56	65	
23	33	42	67	63	
20	33	48	57	44	
16	42	60	54	43	
19	33	50	51	60	
23	27	66	46	56	
16	32	38	69	61	
18	30	37	55	86	
15	43	41	64	63	
28	30	55	67	62	
23	36	67	68	43	
20	37	53	63	62	
22	31	51	46	65	
19	30	46	65	66	
18	34	50	61	50	
23	34	42	75	65	
20	37	50	59	58	
24	41	50	67	43	
16	28	47	54	49	
22	47	49	82	52	
24	30	42	61	41	
25	34	54	43	61	
25	35	53	47	65	
26	38	48	57	60	
22	38	47	70	54	
30	47	48	58	51	
29	39	47	51	62	
20	33	57	61	69	
19	46	43	47	51	
28	36	45	47	51	
17	39	45	58	40	
29	28	44	67	44	
31	44	58	50	56	
21	39	61	63	64	
25	38	55	62	52	
33	28	55	58	45	
23	35	42	65	48	
17	44	47	46	50	
23	34	45	55	61	
31	31	42	70	55	
18	30	45	48	57	
24	39	61	58	64	
26	27	52	55	50	
26	30	51	53	59	
19	39	49	46	54	
24	39	54	52	58	
23	38	58	69	53	
20	35	52	53	47	
20	21	42	66	61	
28	34	48	64	61	
22	44	54	59	49	
16	25	53	59	52	
14	35	53	49	63	
19	44	58	49	48	
17	46	46	56	49	
28	31	58	50	44	
17	40	49	58	50	
25	40	54	51	60	
25	39	49	65	49	
19	31	37	54	54	
22	31	48	52	81	
24	37	53	55	42	
18	32	45	56	64	
22	40	60	51	64	
13	30	55	57	58	
24	29	53	60	53	
19	37	48	52	59	
21	39	48	51	57	
17	25	38	52	50	
26	28	49	55	58	
27	35	62	56	54	
19	27	56	52	75	
17	34	53	60	61	
25	40	48	68	50	
20	34	48	53	64	
25	40	45	53	49	
23	31	59	62	69	
18	37	52	58	51	
18	31	43	48	51	
18	48	36	57	60	
20	26	64	66	57	
28	27	74	46	59	
22	35	54	54	57	
14	35	51	49	77	
18	41	50	69	61	
29	32	39	56	46	
19	36	38	40	49	
26	23	45	57	48	
15	32	61	52	53	
17	39	43	60	51	
22	33	54	72	63	
15	54	38	54	53	
22	32	48	65	43	
21	49	48	51	48	
21	42	42	48	45	
16	36	62	47	56	
22	37	59	45	53	
20	36	36	64	58	
24	27	41	49	50	
19	36	56	43	62	
18	31	47	51	71	
27	34	46	62	44	
14	35	47	58	54	
18	33	61	43	62	
19	31	55	42	58	
14	37	49	65	61	
23	40	47	55	54	
18	33	42	57	56	
15	37	60	51	53	
19	29	32	56	51	
22	29	45	57	54	
14	33	45	50	62	
27	35	44	59	63	
27	30	42	71	61	
15	29	54	46	45	
21	34	46	61	37	
12	41	53	41	48	
19	36	43	49	50	
15	37	41	46	53	
15	32	45	59	62	
14	23	44	54	61	
29	30	47	52	61	
12	30	48	66	81	
15	35	53	54	51	
26	36	41	54	45	
20	27	40	52	45	
17	33	46	56	44	
17	43	55	49	59	
22	33	49	55	45	
26	29	61	54	70	
16	34	59	44	48	
15	24	37	56	58	
19	35	50	55	66	
25	39	45	44	52	
24	36	41	62	59	
20	38	53	37	65	
17	33	45	50	44	
8	45	44	61	54	
26	37	45	69	52	
13	26	42	53	62	
17	43	44	69	55	
15	20	60	64	52	
19	40	54	56	58	
25	35	46	44	48	
23	29	53	50	66	
17	50	40	61	57	
