,Ref,,,,,APTMS,,,,
Time,100pc10int,50pc10int,50pc7int,50pc6int,10pct7int,100pct10int,50pct10int,50pct7int,50pct6int,10pct7int
2072.576,2,6,9,21,38,2,4,21,25,25
2073.088,3,4,12,28,34,6,11,20,24,23
2073.6,0,6,16,30,32,4,8,21,20,15
2074.112,3,4,13,32,34,7,15,15,25,26
2074.624,4,13,13,21,32,4,9,16,20,16
2075.136,1,7,14,30,34,9,5,15,21,19
2075.648,1,7,13,26,39,6,9,26,28,23
2076.16,4,3,17,26,34,2,6,23,20,23
2076.672,2,4,19,30,46,4,7,12,21,28
2077.184,3,6,17,18,30,1,4,25,19,18
2077.696,3,8,19,33,33,0,11,17,24,25
2078.208,2,3,12,31,43,5,6,20,26,18
2078.72,0,5,21,26,34,3,6,21,22,19
2079.232,1,5,9,36,28,1,8,13,21,21
2079.744,4,5,20,23,42,8,4,15,20,25
2080.256,2,4,19,29,39,5,4,17,24,26
2080.768,2,5,15,27,39,1,10,16,24,17
2081.28,2,6,14,28,41,6,8,27,27,23
2081.792,2,2,12,20,29,4,8,13,26,19
2082.304,0,6,14,28,44,1,8,22,19,26
2082.816,1,2,13,27,40,5,11,11,14,25
2083.328,1,1,13,26,23,3,7,17,22,21
2083.84,2,5,13,20,45,4,6,25,21,24
2084.352,5,5,17,29,46,3,15,17,27,28
2084.864,2,3,12,25,32,3,9,13,30,15
2085.376,0,9,9,25,36,7,9,12,19,23
2085.888,1,0,12,23,34,5,6,14,22,27
2086.4,1,6,15,34,38,7,7,17,17,21
2086.912,3,6,13,21,39,5,8,19,20,19
2087.424,1,3,18,29,39,6,11,11,18,30
2087.936,1,5,10,42,43,3,9,11,17,36
2088.448,5,5,11,26,39,5,6,18,22,22
2088.96,1,4,18,38,34,4,10,22,20,24
2089.472,1,3,13,21,33,4,7,19,25,29
2089.984,0,3,24,25,40,3,5,18,16,14
2090.496,1,5,16,16,43,2,4,20,31,21
2091.008,3,2,13,27,23,5,5,18,29,20
2091.52,0,4,12,29,44,2,12,19,28,31
2092.032,0,4,12,29,43,3,7,19,27,33
2092.544,3,2,13,35,38,3,9,16,25,21
2093.056,1,4,19,21,43,8,8,11,31,24
2093.568,3,5,14,26,29,3,12,14,24,23
2094.08,2,5,19,31,44,5,5,15,29,13
2094.592,1,9,24,36,36,2,12,13,25,33
2095.104,0,3,17,35,29,6,9,24,24,25
2095.616,1,6,22,33,35,5,10,15,17,21
2096.128,0,1,18,30,33,7,6,9,28,24
2096.64,2,5,17,33,45,4,12,28,22,18
2097.152,0,3,15,41,32,3,7,19,23,15
2097.664,1,4,11,24,41,4,6,13,14,29
2098.176,2,4,23,42,43,5,8,10,13,20
2098.688,2,5,20,28,38,6,7,22,30,20
2099.2,4,5,21,26,44,2,6,16,20,19
2099.712,1,3,16,31,41,3,9,19,23,17
2100.224,2,3,18,27,36,5,12,19,21,26
2100.736,2,2,22,33,36,5,8,14,25,18
2101.248,1,4,20,29,36,3,6,18,19,21
2101.76,4,8,23,29,39,3,5,17,20,28
2102.272,2,5,9,26,44,4,7,15,31,23
2102.784,2,5,16,27,40,2,15,12,15,30
2103.296,1,4,17,30,40,5,10,11,18,28
2103.808,1,10,14,26,36,5,9,8,24,18
2104.32,2,6,11,22,40,2,6,27,21,21
2104.832,0,3,16,34,38,3,9,18,29,15
2105.344,0,4,14,31,35,4,6,15,24,20
2105.856,1,7,11,17,42,8,7,24,17,19
2106.368,4,7,14,27,26,4,11,18,19,23
2106.88,2,9,10,13,40,3,8,22,27,23
2107.392,0,3,14,36,53,3,7,23,18,32
2107.904,3,7,21,23,38,1,7,18,23,24
2108.416,5,4,22,30,41,7,7,19,16,25
2108.928,2,6,20,22,31,5,8,14,19,22
2109.44,3,3,10,20,33,7,15,10,20,26
2109.952,3,3,16,32,39,4,9,23,24,22
2110.464,1,8,17,35,34,5,6,16,26,30
2110.976,2,5,17,37,45,5,14,16,20,23
2111.488,1,6,19,20,31,4,9,22,17,23
2112,3,4,16,22,34,5,6,18,22,21
2112.512,1,4,14,20,27,2,9,11,27,20
2113.024,4,5,17,22,32,3,10,17,30,26
2113.536,2,5,13,22,43,9,9,9,23,15
2114.048,5,4,17,27,27,3,6,15,19,18
2114.56,3,5,22,24,39,2,8,15,14,23
2115.072,2,6,16,32,39,2,4,25,20,26
2115.584,1,6,13,27,40,3,9,13,21,22
2116.096,2,5,17,21,40,2,8,12,21,24
2116.608,0,8,18,21,34,6,3,14,22,22
2117.12,1,7,20,28,37,4,8,20,23,25
2117.632,4,6,24,22,36,6,7,14,29,16
2118.144,2,6,18,39,46,5,6,15,27,33
2118.656,3,3,15,43,37,8,4,18,23,17
2119.168,0,8,22,31,46,2,5,15,25,26
2119.68,1,8,13,16,39,3,5,23,15,20
2120.192,2,4,19,25,30,4,8,24,17,15
2120.704,0,6,14,39,38,5,7,23,17,21
2121.216,1,3,10,22,39,5,15,17,21,21
2121.728,3,3,16,33,44,2,6,18,18,26
2122.24,4,6,13,29,31,6,6,25,17,20
2122.752,1,4,14,23,34,4,8,25,16,22
2123.264,1,2,21,36,25,7,17,12,27,28
2123.776,2,10,13,29,37,3,6,12,17,24
2124.288,2,6,16,34,27,7,6,20,22,27
2124.8,3,4,13,26,30,5,10,18,20,22
2125.312,2,2,18,29,32,5,10,15,22,25
2125.824,3,4,10,36,32,4,10,8,18,18
2126.336,1,4,16,19,31,2,11,21,20,11
2126.848,6,6,20,23,25,2,5,23,16,21
2127.36,1,5,19,18,36,1,6,17,19,24
2127.872,3,7,12,33,35,8,5,21,21,32
2128.384,2,2,16,23,42,4,11,23,21,19
2128.896,1,6,9,35,47,5,9,17,21,30
2129.408,4,4,5,23,37,3,5,16,27,23
2129.92,2,7,16,33,33,6,5,21,17,22
2130.432,1,8,16,23,43,2,5,16,21,24
2130.944,1,8,12,30,25,3,11,24,26,26
2131.456,3,5,16,30,37,9,8,12,19,23
2131.968,1,6,15,27,41,6,7,13,24,23
2132.48,1,3,18,29,33,7,6,17,19,26
2132.992,2,3,15,36,44,9,10,21,22,21
2133.504,2,5,16,21,37,7,6,12,19,20
2134.016,2,5,12,27,32,11,6,32,19,27
2134.528,3,6,7,24,41,1,5,23,22,20
2135.04,1,4,18,23,42,8,7,24,22,25
2135.552,4,9,13,33,33,3,8,23,28,25
2136.064,1,4,16,21,30,3,13,17,14,17
2136.576,3,6,11,30,29,4,7,20,12,15
2137.088,3,6,19,29,36,5,9,18,21,20
2137.6,5,8,17,22,33,7,9,26,21,16
2138.112,0,2,21,25,34,2,6,14,20,22
2138.624,4,7,17,34,39,2,7,19,15,23
2139.136,1,9,14,27,30,7,8,23,22,15
2139.648,1,3,13,27,45,3,6,14,25,18
2140.16,0,5,18,33,47,3,2,19,21,19
2140.672,2,8,12,25,35,3,13,15,18,22
2141.184,0,5,22,24,35,6,4,20,21,20
2141.696,3,6,25,31,44,7,6,16,20,23
2142.208,6,2,14,27,34,2,3,10,18,26
2142.72,3,8,20,32,42,3,8,13,22,14
2143.232,5,6,12,24,29,4,7,28,19,19
2143.744,5,6,15,37,29,4,11,16,21,32
2144.256,5,5,19,24,37,3,10,16,26,17
2144.768,2,3,10,25,37,3,5,18,25,23
2145.28,0,6,21,24,30,3,10,14,23,17
2145.792,0,6,11,32,41,4,7,22,16,24
2146.304,2,4,16,36,35,5,6,20,20,19
2146.816,1,9,17,24,35,2,14,17,20,20
2147.328,3,5,15,27,33,2,7,14,19,17
2147.84,0,1,18,21,33,3,5,13,24,29
2148.352,1,4,15,29,36,3,5,23,20,19
2148.864,0,1,20,23,36,3,9,19,25,21
2149.376,5,3,13,29,37,3,6,8,14,18
2149.888,0,4,14,22,36,5,9,20,22,20
2150.4,3,7,16,40,37,6,11,19,23,26
2150.912,3,2,15,24,47,2,9,9,23,21
2151.424,0,1,17,30,36,3,9,12,21,25
2151.936,2,7,12,31,34,5,5,23,15,22
2152.448,2,6,21,29,35,7,7,16,24,29
2152.96,1,5,13,25,22,4,5,19,20,30
2153.472,2,4,13,20,38,3,5,12,25,28
2153.984,3,2,15,29,29,4,8,22,16,29
2154.496,3,4,14,32,38,6,3,13,20,25
2155.008,2,3,12,25,28,5,8,24,20,32
2155.52,1,7,12,22,34,2,13,15,16,23
2156.032,1,5,8,18,40,5,2,13,23,15
2156.544,3,6,12,30,31,6,4,14,27,23
2157.056,1,4,14,19,33,3,9,20,25,24
2157.568,1,7,18,30,44,4,7,16,21,18
2158.08,3,1,27,24,42,3,14,17,22,22
2158.592,1,3,15,20,36,1,7,16,16,31
2159.104,3,5,16,40,36,4,3,22,22,32
2159.616,2,4,16,33,27,3,9,22,13,23
2160.128,2,4,18,20,40,6,7,21,28,20
2160.64,3,5,10,31,33,7,8,22,20,27
2161.152,1,6,13,25,39,2,7,21,20,25
2161.664,1,4,16,24,24,4,9,14,16,17
2162.176,2,7,20,28,34,4,6,22,15,26
2162.688,1,5,13,28,33,5,4,18,24,24
2163.2,1,3,21,23,38,1,8,30,29,20
2163.712,3,8,9,33,26,4,8,24,22,22
2164.224,3,7,13,28,43,11,7,22,12,20
2164.736,1,2,19,20,30,7,14,15,22,23
2165.248,1,3,18,19,32,7,9,12,21,22
2165.76,4,5,20,36,42,2,10,18,11,16
2166.272,1,5,15,30,40,5,8,13,20,29
2166.784,1,8,14,25,37,4,3,21,26,19
2167.296,4,3,16,24,28,1,5,17,18,23
2167.808,2,10,18,25,33,8,6,17,23,24
2168.32,2,3,14,31,32,5,9,14,16,20
2168.832,3,3,17,26,21,4,4,14,24,24
2169.344,0,2,18,25,42,2,10,15,21,18
2169.856,0,3,23,27,47,7,10,20,17,22
2170.368,3,2,17,32,43,9,5,22,13,17
2170.88,3,7,13,25,47,3,11,15,20,18
2171.392,5,5,23,30,40,4,5,18,22,23
2171.904,1,7,16,31,23,2,10,14,24,17
2172.416,0,5,14,19,46,8,8,13,12,31
2172.928,1,4,14,34,26,2,10,17,17,26
2173.44,1,3,13,30,36,7,7,15,17,19
2173.952,2,2,11,19,33,2,9,25,23,25
2174.464,1,1,12,33,39,3,8,12,12,26
2174.976,1,7,15,38,25,7,10,24,16,29
2175.488,1,4,13,31,23,2,10,15,28,16
2176,3,5,17,26,38,4,4,28,18,23
2176.512,3,5,15,20,33,1,5,18,28,21
2177.024,1,1,11,38,36,3,5,9,14,27
2177.536,3,9,13,28,47,4,5,17,14,25
2178.048,3,2,15,30,50,3,8,14,18,25
2178.56,3,6,20,41,51,4,7,16,24,15
2179.072,1,6,10,24,43,4,6,17,19,15
2179.584,2,6,17,26,37,6,7,12,20,27
2180.096,2,4,16,36,41,8,3,21,16,19
2180.608,0,9,15,21,29,4,5,13,23,26
2181.12,0,3,13,28,48,1,6,18,22,16
2181.632,4,4,13,18,33,3,8,14,27,24
2182.144,1,8,16,25,33,1,7,18,22,23
2182.656,1,3,10,24,50,3,9,19,19,18
2183.168,2,3,11,31,35,5,4,19,24,22
2183.68,2,3,18,30,30,3,9,15,23,16
2184.192,1,4,14,27,36,7,3,21,25,28
2184.704,2,3,14,21,43,8,10,21,19,16
2185.216,2,9,15,24,42,5,3,18,19,26
2185.728,4,6,7,26,33,3,5,9,18,22
2186.24,3,8,14,27,35,6,2,23,13,23
2186.752,2,4,20,24,36,2,6,26,15,20
2187.264,3,11,17,27,45,5,11,22,20,20
2187.776,1,6,12,20,45,4,7,21,14,21
2188.288,4,3,20,31,46,1,5,15,16,26
2188.8,3,9,14,34,38,11,8,14,19,19
2189.312,3,3,18,36,33,0,8,19,18,24
2189.824,1,6,15,32,44,3,4,12,24,22
2190.336,0,4,16,29,45,6,7,12,17,19
2190.848,1,5,14,31,37,1,6,18,18,18
2191.36,2,8,12,27,32,8,8,17,25,20
2191.872,4,6,13,23,27,2,5,13,16,26
2192.384,2,5,18,28,37,3,6,13,23,20
2192.896,2,7,9,32,47,8,5,19,22,14
2193.408,1,6,23,24,37,2,7,15,22,30
2193.92,2,4,10,36,46,5,5,13,19,29
2194.432,1,4,14,26,38,9,6,15,19,21
2194.944,1,13,18,35,56,4,4,12,24,23
2195.456,3,5,13,23,32,4,9,14,24,30
2195.968,2,9,15,34,51,7,14,11,29,18
2196.48,1,4,12,34,34,6,8,10,17,23
2196.992,2,9,20,26,41,2,9,14,22,24
2197.504,0,5,20,20,32,4,3,14,18,18
2198.016,1,2,13,29,35,2,9,17,15,24
2198.528,1,8,11,26,31,1,12,16,23,27
2199.04,1,2,11,23,32,3,7,14,19,28
2199.552,4,6,18,25,43,3,5,19,17,26
2200.064,5,5,17,26,39,3,8,13,19,19
2200.576,2,4,11,29,40,4,4,18,27,23
2201.088,1,5,10,19,33,1,3,15,19,18
2201.6,4,7,11,19,34,2,8,19,29,12
2202.112,1,4,15,27,30,4,11,13,23,22
2202.624,2,5,19,35,34,1,9,15,19,26
2203.136,2,4,20,34,41,3,9,17,21,15
2203.648,2,5,19,28,33,3,6,17,17,22
2204.16,5,5,13,28,49,3,8,18,19,16
2204.672,1,2,17,25,46,4,6,23,21,14
2205.184,1,2,16,30,29,9,2,18,18,23
2205.696,5,5,26,20,33,5,4,12,14,20
2206.208,1,9,16,32,36,4,4,11,21,25
2206.72,4,4,14,22,45,8,4,6,19,25
2207.232,2,4,13,23,35,4,11,17,32,35
2207.744,1,7,16,30,44,4,10,7,21,30
2208.256,1,0,12,19,40,6,5,17,16,22
2208.768,2,8,21,23,44,6,8,19,25,22
2209.28,1,7,8,28,38,3,12,15,16,23
2209.792,0,4,17,28,29,3,11,17,19,11
2210.304,0,5,14,27,41,3,7,18,23,19
2210.816,1,4,14,21,33,2,5,21,22,21
2211.328,2,4,13,14,42,5,10,18,16,20
2211.84,4,5,11,25,44,2,7,18,20,24
2212.352,1,4,17,36,32,4,4,12,17,30
2212.864,1,6,21,36,35,3,6,12,16,23
2213.376,1,4,10,31,36,6,7,15,23,24
2213.888,1,4,14,33,39,6,7,13,21,20
2214.4,4,4,24,26,20,5,5,14,26,34
2214.912,3,9,27,18,39,4,7,23,18,16
2215.424,1,7,16,33,30,5,2,12,21,16
2215.936,3,7,12,34,43,4,5,16,21,22
2216.448,2,5,15,18,33,5,9,17,25,19
2216.96,3,3,16,27,34,1,4,11,17,17
2217.472,1,4,15,37,42,4,5,13,28,26
2217.984,1,5,17,30,37,3,6,16,20,20
2218.496,2,3,15,21,35,5,5,17,17,10
2219.008,5,6,11,27,38,10,8,16,19,30
2219.52,3,6,16,26,43,3,6,12,17,23
2220.032,0,2,16,24,30,4,7,18,23,21
2220.544,2,4,16,39,28,3,6,17,20,29
2221.056,1,4,17,18,29,2,6,18,22,27
2221.568,1,4,9,28,42,4,8,17,21,20
2222.08,1,6,16,25,29,6,7,13,21,26
2222.592,1,6,23,31,20,6,8,18,16,22
2223.104,1,4,14,26,39,8,6,17,14,16
2223.616,0,11,18,22,33,7,8,22,22,25
2224.128,1,5,20,26,42,2,4,14,24,23
2224.64,3,5,18,38,40,3,4,27,34,22
2225.152,1,4,9,20,33,1,6,15,17,18
2225.664,2,8,19,24,20,4,8,13,30,24
2226.176,5,4,17,30,39,6,4,19,19,19
2226.688,4,7,17,32,44,4,7,12,28,27
2227.2,1,2,21,32,34,7,6,16,26,25
2227.712,3,6,13,32,31,5,6,13,31,19
2228.224,1,4,15,18,39,2,13,10,23,21
2228.736,1,8,21,24,37,7,13,19,17,26
2229.248,3,5,12,28,29,5,6,15,25,16
2229.76,3,4,15,17,39,4,3,13,14,24
2230.272,1,5,9,32,29,3,8,17,24,24
2230.784,2,5,14,25,41,6,7,17,22,27
2231.296,2,7,12,26,42,4,7,11,16,25
2231.808,2,3,29,28,40,6,7,13,20,19
2232.32,1,3,18,27,26,4,5,17,12,30
2232.832,3,8,19,26,41,2,10,16,13,21
2233.344,4,7,20,24,38,3,5,28,17,16
2233.856,2,5,14,28,29,3,9,14,24,15
2234.368,2,6,18,20,37,4,3,18,11,25
2234.88,4,5,12,28,40,2,17,26,25,19
2235.392,1,6,15,33,40,2,7,17,21,25
2235.904,1,7,12,25,37,4,7,17,20,20
2236.416,1,7,14,34,35,5,7,17,21,30
2236.928,2,5,12,29,42,6,10,13,16,19
2237.44,1,6,13,28,32,1,9,14,22,22
2237.952,1,4,9,26,34,2,8,20,12,19
2238.464,1,2,19,24,23,1,10,16,13,12
2238.976,2,4,15,33,26,0,6,17,21,19
2239.488,2,8,21,26,48,5,6,10,30,16
2240,6,8,9,25,43,4,8,25,15,21
2240.512,3,4,16,25,42,6,5,17,22,28
2241.024,3,7,12,26,27,6,9,15,24,19
2241.536,2,6,16,22,33,1,9,18,15,21
2242.048,2,3,16,24,28,7,5,19,22,20
2242.56,1,6,12,28,45,2,13,18,18,18
2243.072,2,4,16,35,40,2,7,13,20,17
2243.584,1,6,15,23,31,2,7,15,20,29
2244.096,1,10,10,22,39,2,9,10,24,24
2244.608,1,8,15,24,30,4,8,20,24,21
2245.12,1,6,22,29,33,3,5,23,17,22
2245.632,1,2,18,29,31,4,9,22,21,15
2246.144,1,9,13,16,28,5,10,18,21,17
2246.656,0,4,17,24,25,2,5,15,27,26
2247.168,2,4,10,24,31,5,4,11,16,17
2247.68,3,4,10,30,37,5,11,23,23,24
2248.192,1,0,17,28,49,4,13,15,17,22
2248.704,1,8,12,32,34,1,6,18,26,15
2249.216,0,4,10,27,36,4,6,17,22,23
2249.728,1,4,21,17,27,6,10,12,24,18
2250.24,2,5,15,25,31,3,8,16,18,18
2250.752,0,6,17,29,38,6,11,15,16,25
2251.264,1,3,14,20,34,6,10,13,13,18
2251.776,2,6,15,23,34,0,7,26,19,29
2252.288,0,7,18,22,38,3,11,13,20,25
2252.8,1,8,20,28,32,5,8,14,17,21
2253.312,3,5,22,20,31,2,11,14,29,23
2253.824,1,6,19,20,37,3,9,17,25,22
2254.336,0,7,11,28,44,3,8,13,16,18
2254.848,3,7,14,36,38,2,8,13,18,18
2255.36,0,7,19,38,35,4,6,14,21,15
2255.872,1,8,10,37,37,6,6,28,15,26
2256.384,3,4,13,34,26,3,4,17,24,18
2256.896,2,4,18,29,36,5,6,15,22,21
2257.408,1,4,13,32,32,4,4,11,17,18
2257.92,1,7,10,26,41,5,10,16,19,26
2258.432,4,2,16,19,32,3,7,14,26,28
2258.944,1,2,22,27,45,5,4,23,22,28
2259.456,2,4,18,27,32,7,8,15,24,26
2259.968,3,6,18,32,35,5,5,13,20,20
2260.48,2,7,8,26,38,4,5,17,20,29
2260.992,2,5,18,28,28,2,9,16,20,26
2261.504,0,6,17,32,29,4,7,12,21,23
2262.016,4,6,14,22,28,2,13,12,23,17
2262.528,4,5,17,26,34,2,7,18,20,17
2263.04,1,3,12,25,39,2,7,15,20,20
2263.552,2,6,9,23,38,0,4,13,19,19
2264.064,0,7,16,22,33,3,4,22,18,23
2264.576,1,4,7,29,43,4,6,14,26,23
2265.088,1,5,18,28,37,2,5,11,19,28
2265.6,0,2,16,19,31,2,9,11,24,15
2266.112,0,4,16,19,36,3,10,17,29,21
2266.624,0,7,18,26,33,7,8,15,12,19
2267.136,2,3,10,24,28,3,6,18,23,26
2267.648,1,8,13,36,46,3,6,10,26,20
2268.16,2,9,12,33,40,0,7,7,18,26
2268.672,0,7,8,27,53,3,4,11,15,17
2269.184,3,0,6,33,38,4,7,22,14,22
2269.696,3,1,13,23,35,1,8,15,23,26
2270.208,0,6,13,29,31,4,4,11,23,30
2270.72,1,12,19,24,27,6,8,16,18,18
2271.232,1,6,17,33,31,4,5,17,16,18
2271.744,4,4,15,25,29,3,10,11,24,22
2272.256,3,7,12,30,40,5,11,17,21,28
2272.768,1,5,13,24,34,4,7,18,28,24
2273.28,3,4,18,33,31,3,5,17,21,25
2273.792,0,5,12,18,31,5,8,21,28,24
2274.304,0,11,19,35,39,6,7,14,22,30
2274.816,0,8,10,30,40,6,10,15,18,27
2275.328,5,10,9,20,41,5,2,16,17,22
2275.84,2,6,17,31,35,2,2,13,18,26
2276.352,1,5,14,18,47,4,9,14,24,18
2276.864,2,5,21,27,29,5,5,22,16,21
2277.376,0,4,11,35,46,6,7,16,28,21
2277.888,2,3,11,30,26,4,5,20,20,11
2278.4,6,7,10,32,26,4,8,21,26,26
2278.912,2,3,12,27,47,5,10,18,18,19
2279.424,6,4,17,34,34,5,8,14,20,19
2279.936,2,3,10,18,35,6,5,8,25,24
2280.448,0,6,13,22,46,7,6,13,25,23
2280.96,0,5,7,18,25,3,10,8,14,18
2281.472,2,7,14,29,31,3,10,15,27,25
2281.984,6,4,15,27,31,5,9,18,20,15
2282.496,0,7,12,21,42,3,8,12,18,12
2283.008,1,3,19,23,35,2,6,21,22,20
2283.52,3,5,14,26,33,3,9,19,20,28
2284.032,4,7,17,34,41,3,6,13,24,20
2284.544,2,4,16,30,40,4,5,11,16,23
2285.056,3,6,13,19,43,4,10,20,16,14
2285.568,2,4,17,27,32,5,8,19,24,29
2286.08,3,3,14,29,23,5,11,14,20,25
2286.592,5,4,17,30,28,4,7,14,18,25
2287.104,2,5,14,30,33,5,9,12,23,23
2287.616,0,9,15,36,26,5,7,19,23,14
2288.128,1,5,19,32,30,8,10,16,16,18
2288.64,1,5,16,32,27,6,13,21,20,17
2289.152,4,6,10,26,35,5,5,13,21,18
2289.664,1,6,15,22,37,5,7,15,22,16
2290.176,0,5,16,28,34,8,5,17,24,25
2290.688,2,10,14,23,29,2,6,12,19,37
2291.2,3,7,17,25,39,3,2,20,26,21
2291.712,4,6,11,33,34,4,6,20,17,22
2292.224,1,10,9,30,34,3,2,11,21,23
2292.736,2,7,10,28,34,1,8,14,28,35
2293.248,1,4,15,35,28,8,5,22,22,24
2293.76,2,1,17,26,38,2,4,19,15,16
2294.272,0,4,14,24,27,2,4,19,18,23
2294.784,1,4,14,30,44,5,6,16,22,14
2295.296,2,4,7,38,26,5,8,19,24,21
2295.808,3,4,12,28,48,4,10,14,21,13
2296.32,4,4,10,27,22,3,5,15,24,31
2296.832,0,9,9,36,37,3,9,21,26,26
2297.344,2,4,9,29,36,0,6,21,24,19
2297.856,0,3,18,25,26,4,6,15,16,19
2298.368,4,3,19,24,38,3,3,16,17,25
2298.88,3,7,18,27,39,3,6,20,30,27
2299.392,1,6,21,34,35,3,8,16,25,19
2299.904,0,4,14,25,36,5,6,13,20,25
2300.416,2,5,10,23,33,2,7,8,25,22
2300.928,5,6,16,25,39,6,5,19,23,21
2301.44,0,2,14,22,39,6,3,8,24,27
2301.952,1,4,17,33,33,2,5,16,25,24
2302.464,3,6,13,28,40,5,3,19,16,16
2302.976,3,7,11,24,33,7,8,8,30,22
2303.488,0,4,22,22,40,6,4,16,24,23
2304,3,3,15,26,41,4,6,14,16,26
2304.512,0,7,13,31,30,9,13,10,13,22
2305.024,3,3,14,27,33,4,4,14,14,24
2305.536,0,4,8,27,32,3,5,17,30,18
2306.048,1,4,12,31,40,6,7,11,25,28
2306.56,1,3,22,27,29,7,7,12,22,15
2307.072,5,8,9,27,39,4,6,24,19,31
2307.584,2,6,7,35,23,2,6,17,21,20
2308.096,2,8,24,28,40,2,8,17,19,24
2308.608,3,5,17,28,41,4,8,15,25,31
2309.12,2,3,15,35,31,7,3,17,19,20
2309.632,3,2,11,22,34,5,5,20,24,7
2310.144,1,5,11,33,42,5,7,17,19,19
2310.656,2,5,11,17,33,5,6,16,20,15
2311.168,2,6,20,33,28,1,5,12,13,14
2311.68,1,1,11,24,36,2,5,16,15,19
2312.192,3,7,18,34,42,3,5,12,20,19
2312.704,0,4,7,25,35,2,6,16,29,13
2313.216,4,5,18,19,32,4,4,22,22,23
2313.728,1,2,13,31,32,4,4,14,18,22
2314.24,0,6,12,23,40,5,7,16,19,24
2314.752,3,7,11,30,33,0,6,18,21,22
2315.264,1,3,10,25,32,3,7,17,20,18
2315.776,2,6,11,25,41,3,6,12,22,23
2316.288,1,5,10,17,29,5,4,11,29,17
2316.8,1,3,20,13,42,5,6,13,24,29
2317.312,5,6,14,26,27,3,9,10,22,23
2317.824,2,1,14,30,48,2,8,18,17,14
2318.336,1,6,17,30,48,0,4,18,23,28
2318.848,2,2,17,19,28,6,11,22,15,21
2319.36,2,8,15,30,31,7,5,14,16,14
2319.872,5,5,10,22,32,3,8,17,21,27
2320.384,2,3,15,28,26,4,4,17,24,16
2320.896,6,6,14,19,35,6,6,13,26,28
2321.408,5,6,11,25,44,2,11,20,22,15
2321.92,4,9,15,23,42,3,10,11,13,26
2322.432,1,4,22,22,27,9,8,12,18,15
2322.944,0,2,16,22,37,7,8,13,21,24
2323.456,1,5,9,25,28,8,6,20,15,20
2323.968,2,5,16,21,36,2,9,12,18,15
2324.48,2,3,12,18,30,6,7,13,18,19
2324.992,1,5,17,22,37,6,7,14,29,18
2325.504,1,8,8,21,25,6,10,11,19,22
2326.016,2,5,9,24,47,3,4,15,30,21
2326.528,2,7,10,22,31,3,7,12,20,20
2327.04,1,9,20,35,32,4,8,8,13,21
2327.552,1,4,10,25,33,2,11,20,26,25
2328.064,2,5,12,25,41,2,5,14,17,21
2328.576,4,3,19,28,33,3,7,23,22,17
2329.088,4,4,12,15,34,3,8,17,21,23
2329.6,0,4,17,17,30,3,6,13,22,29
2330.112,1,3,15,23,36,5,8,16,19,25
2330.624,1,2,16,36,35,5,9,22,20,28
2331.136,2,9,20,28,36,2,5,18,16,25
2331.648,1,4,15,17,35,0,3,15,14,23
2332.16,1,4,11,28,36,3,7,19,19,21
2332.672,2,6,13,23,32,2,7,18,21,24
2333.184,5,9,17,27,32,6,6,16,20,12
2333.696,4,7,20,12,38,10,9,21,14,23
2334.208,1,4,13,32,51,5,11,15,23,18
2334.72,1,7,13,27,33,1,5,11,23,22
2335.232,2,4,18,29,44,5,8,11,19,25
2335.744,3,5,8,21,34,2,5,12,15,28
2336.256,4,5,17,23,36,5,3,20,27,21
2336.768,2,3,17,32,35,4,4,12,25,27
2337.28,2,3,9,30,49,5,7,10,20,26
2337.792,0,1,12,23,32,3,5,21,24,23
2338.304,1,3,16,32,43,3,4,11,19,19
2338.816,0,3,17,18,24,7,9,14,13,23
2339.328,2,5,12,15,31,4,6,14,22,23
2339.84,2,3,19,31,44,4,10,13,18,23
2340.352,4,3,16,17,43,4,5,15,16,17
2340.864,2,6,12,29,34,3,7,14,17,21
2341.376,3,1,15,25,26,9,8,15,16,18
2341.888,2,6,10,21,29,3,2,17,21,25
2342.4,3,5,15,23,31,2,4,8,19,14
2342.912,0,3,22,24,40,1,5,14,30,17
2343.424,2,6,8,23,43,4,3,11,16,14
2343.936,4,6,11,24,37,1,8,9,17,24
2344.448,1,5,10,19,30,2,6,15,27,23
2344.96,0,2,16,17,27,2,6,13,13,21
2345.472,2,3,12,32,29,3,9,13,18,22
2345.984,0,5,14,27,40,5,10,7,19,19
2346.496,0,3,11,32,33,4,2,9,24,24
2347.008,6,4,17,30,46,7,4,18,18,21
2347.52,3,9,18,21,40,4,8,14,25,15
2348.032,2,7,14,24,35,3,11,16,26,27
2348.544,2,6,17,24,49,1,5,11,23,21
2349.056,1,8,18,28,37,4,5,11,19,22
2349.568,0,5,21,22,37,4,2,23,27,21
2350.08,2,2,4,27,38,3,6,13,17,32
2350.592,2,5,10,16,29,6,5,17,15,14
2351.104,0,6,11,27,44,2,10,11,18,19
2351.616,1,9,17,30,38,3,4,25,22,28
2352.128,1,4,17,22,41,6,9,8,20,19
2352.64,2,3,15,31,41,8,11,14,21,20
2353.152,2,7,12,30,31,3,6,8,19,21
2353.664,2,9,8,20,32,2,6,21,21,19
2354.176,0,4,13,21,45,1,10,16,23,30
2354.688,4,4,8,26,31,3,9,16,7,26
2355.2,1,4,19,34,47,0,3,17,17,21
2355.712,2,0,12,27,36,8,10,14,23,22
2356.224,0,6,11,22,36,3,7,11,19,23
2356.736,0,2,14,30,43,1,7,13,26,21
2357.248,4,1,11,26,35,5,8,11,18,25
