,Ref,,,,,APTMS,,,,
Time,100pc10int,50pc10int,50pc7int,50pc6int,10pct7int,100pct10int,50pct10int,50pct7int,50pct6int,10pct7int
66.56,41,69,63,58,59,76,52,83,72,38
67.072,40,64,65,54,58,69,71,73,71,36
67.584,57,55,62,62,65,65,83,80,53,48
68.096,46,58,58,58,58,56,68,63,53,37
68.608,58,49,74,51,54,54,64,74,56,35
69.12,41,68,70,68,45,75,60,91,52,45
69.632,44,55,53,58,51,63,76,67,56,59
70.144,37,60,60,73,60,52,57,82,55,59
70.656,56,63,61,60,58,70,72,76,53,50
71.168,43,62,65,63,59,80,71,81,67,42
71.68,40,56,52,58,59,70,74,73,62,46
72.192,45,58,71,53,76,59,75,74,46,38
72.704,36,62,43,61,59,61,72,88,79,40
73.216,41,49,66,64,70,80,72,69,48,49
73.728,40,55,70,66,54,70,67,66,51,30
74.24,49,67,57,64,85,82,63,58,50,45
74.752,40,67,67,46,61,54,56,78,50,46
75.264,45,59,52,58,71,73,69,86,76,36
75.776,40,56,58,49,60,70,51,71,73,53
76.288,44,33,54,59,67,70,75,82,59,54
76.8,47,45,54,63,60,86,62,78,55,41
77.312,44,48,57,56,68,75,80,75,55,34
77.824,53,45,60,64,51,60,72,75,48,37
78.336,48,54,60,63,65,69,81,76,51,25
78.848,48,61,58,75,62,71,72,71,56,38
79.36,39,50,61,76,52,59,66,72,56,47
79.872,48,57,59,49,55,71,60,69,62,64
80.384,40,39,51,58,44,72,52,78,59,44
80.896,41,57,63,69,69,71,71,70,59,43
81.408,44,58,67,59,61,70,63,62,60,22
81.92,40,54,66,59,68,63,65,71,77,48
82.432,42,50,73,64,50,64,74,77,45,50
82.944,39,52,70,71,58,77,65,76,54,50
83.456,47,61,63,79,45,73,54,59,47,40
83.968,39,61,57,49,64,61,48,64,57,48
84.48,41,58,51,58,57,71,80,85,77,53
84.992,46,57,65,71,67,55,65,73,68,38
85.504,41,61,68,65,51,63,79,78,55,40
86.016,46,48,53,60,48,53,52,74,55,31
86.528,39,52,60,61,56,57,73,75,54,51
87.04,36,53,44,67,52,64,71,62,50,43
87.552,45,59,78,69,51,66,70,66,70,49
88.064,40,50,55,76,64,66,69,71,51,45
88.576,45,47,49,73,45,60,64,81,58,38
89.088,45,61,54,55,67,59,57,67,59,40
89.6,31,53,60,54,48,65,66,73,70,40
90.112,46,46,53,71,57,66,57,65,53,43
90.624,40,53,70,63,64,59,56,66,59,36
91.136,55,47,67,83,60,62,65,69,64,57
91.648,26,43,61,64,55,66,56,58,47,47
92.16,42,66,70,51,55,74,52,77,56,46
92.672,40,57,68,86,57,78,48,71,52,36
93.184,33,51,48,69,56,47,67,72,63,46
93.696,33,45,45,55,53,66,52,74,65,39
94.208,32,35,60,57,58,69,62,73,54,47
94.72,37,35,60,64,43,58,59,81,64,47
95.232,35,46,55,66,65,51,67,63,56,47
95.744,45,46,55,54,56,55,52,78,55,50
