#PicoHarp 300  Histogram Data			04/24/2023 03:02:16 PM
#channels per curve
19141
#display curve no.
0	1	2	3	4	
#memory block no.
0	1	2	3	4	
#ns/channel
0.5120	0.5120	0.5120	0.5120	0.5120	
#counts
57	71	75	45	58	
57	66	71	61	42	
65	63	55	53	31	
43	60	81	56	44	
53	45	54	66	41	
48	58	67	58	50	
53	49	69	48	40	
54	62	55	56	31	
54	58	63	53	28	
46	57	60	61	44	
50	62	67	60	34	
63	59	70	59	36	
59	48	73	54	40	
60	47	60	45	37	
39	57	67	49	43	
49	49	56	59	45	
54	45	80	49	35	
52	53	57	41	36	
58	44	72	74	34	
62	56	62	52	39	
44	44	71	51	38	
55	46	74	57	36	
74	44	57	59	41	
57	48	77	62	45	
60	65	55	53	29	
58	72	66	63	47	
57	68	84	53	45	
59	49	51	62	35	
48	57	71	49	46	
44	68	57	55	46	
43	46	48	30	43	
46	54	61	60	42	
59	51	59	45	50	
34	41	64	54	45	
67	52	51	69	44	
46	52	67	40	36	
48	59	61	58	37	
40	56	60	38	45	
57	48	74	56	41	
50	62	51	53	45	
49	55	71	53	31	
55	58	77	48	44	
51	42	65	51	43	
49	66	67	52	27	
41	68	68	50	34	
59	65	61	66	40	
41	54	62	55	33	
51	43	75	68	40	
64	47	56	52	41	
48	55	65	59	37	
51	59	68	62	54	
55	47	77	57	43	
51	38	53	56	39	
53	58	56	48	33	
49	41	67	49	39	
46	58	62	53	34	
44	49	64	62	46	
40	50	59	48	46	
61	47	74	58	46	
47	48	63	47	46	
37	61	68	57	33	
57	54	80	57	43	
39	47	61	44	41	
47	51	65	50	52	
48	43	61	41	45	
49	62	50	54	41	
53	62	82	60	36	
50	51	59	48	44	
46	50	70	60	40	
49	58	44	53	50	
41	42	51	55	42	
39	57	70	60	41	
43	59	76	51	40	
44	42	58	52	43	
55	35	68	51	35	
37	58	65	59	43	
39	47	47	49	49	
43	45	57	50	55	
41	55	46	54	49	
51	60	60	53	39	
38	39	64	53	41	
42	61	57	59	48	
29	48	64	49	39	
55	43	55	51	37	
38	47	58	55	50	
45	46	73	46	36	
33	45	57	55	53	
52	58	72	55	42	
61	47	60	69	63	
41	55	43	56	41	
45	46	63	50	39	
38	51	66	47	43	
48	51	64	66	51	
45	45	63	54	30	
35	43	59	53	39	
51	61	70	45	50	
30	49	72	46	31	
39	46	68	65	43	
46	55	64	64	42	
35	44	64	43	47	
44	52	70	48	33	
41	66	72	54	42	
51	63	75	38	37	
41	52	57	48	33	
38	54	69	57	48	
50	43	64	51	36	
59	44	52	50	43	
51	46	62	60	32	
33	48	63	57	42	
43	43	64	46	35	
49	58	60	46	51	
36	47	51	54	33	
51	54	69	51	35	
