Labels	ref1_500KHz_0	
Type	Time Scan	
Comment		
Start	0.00	
Stop	1999.511700	
Step	0.48828125	
Fixed/Offset	 	
XAxis	Time(ns)	
YAxis	Counts	

0.00	0.00000000E+0	
0.48828125	0.00000000E+0	
0.97656250	0.00000000E+0	
1.4648438	0.00000000E+0	
1.9531250	0.00000000E+0	
2.4414063	0.00000000E+0	
2.9296875	0.00000000E+0	
3.4179688	0.00000000E+0	
3.906250	0.00000000E+0	
4.3945313	0.00000000E+0	
4.8828125	0.00000000E+0	
5.3710938	0.00000000E+0	
5.8593750	0.00000000E+0	
6.3476563	0.00000000E+0	
6.8359375	0.00000000E+0	
7.3242188	0.00000000E+0	
7.81250	0.00000000E+0	
8.3007813	0.00000000E+0	
8.7890625	0.00000000E+0	
9.2773438	0.00000000E+0	
9.7656250	0.00000000E+0	
10.253906	0.00000000E+0	
10.742188	0.00000000E+0	
11.230469	0.00000000E+0	
11.718750	0.00000000E+0	
12.207031	0.00000000E+0	
12.695313	0.00000000E+0	
13.183594	0.00000000E+0	
13.671875	0.00000000E+0	
14.160156	0.00000000E+0	
14.648438	0.00000000E+0	
15.136719	0.00000000E+0	
15.6250	0.00000000E+0	
16.113281	0.00000000E+0	
16.601563	0.00000000E+0	
17.089844	0.00000000E+0	
17.578125	0.00000000E+0	
18.066406	0.00000000E+0	
18.554688	0.00000000E+0	
19.042969	0.00000000E+0	
19.531250	0.00000000E+0	
20.019531	0.00000000E+0	
20.507813	0.00000000E+0	
20.996094	0.00000000E+0	
21.484375	0.00000000E+0	
21.972656	0.00000000E+0	
22.460938	0.00000000E+0	
22.949219	0.00000000E+0	
23.43750	0.00000000E+0	
23.925781	0.00000000E+0	
24.414063	0.00000000E+0	
24.902344	0.00000000E+0	
25.390625	0.00000000E+0	
25.878906	0.00000000E+0	
26.367188	0.00000000E+0	
26.855469	0.00000000E+0	
27.343750	0.00000000E+0	
27.832031	0.00000000E+0	
28.320313	0.00000000E+0	
28.808594	0.00000000E+0	
29.296875	0.00000000E+0	
29.785156	0.00000000E+0	
30.273438	0.00000000E+0	
30.761719	0.00000000E+0	
31.250	0.00000000E+0	
31.738281	0.00000000E+0	
32.226563	0.00000000E+0	
32.714844	0.00000000E+0	
33.203125	0.00000000E+0	
33.691406	0.00000000E+0	
34.179688	0.00000000E+0	
34.667969	0.00000000E+0	
35.156250	0.00000000E+0	
35.644531	0.00000000E+0	
36.132813	0.00000000E+0	
36.621094	0.00000000E+0	
37.109375	0.00000000E+0	
37.597656	0.00000000E+0	
38.085938	0.00000000E+0	
38.574219	0.00000000E+0	
39.06250	0.00000000E+0	
39.550781	0.00000000E+0	
40.039063	0.00000000E+0	
40.527344	0.00000000E+0	
41.015625	0.00000000E+0	
41.503906	0.00000000E+0	
41.992188	3.00000000E+0	
42.480469	1.00000000E+0	
42.968750	3.00000000E+0	
43.457031	0.00000000E+0	
43.945313	1.00000000E+0	
44.433594	1.00000000E+0	
44.921875	2.00000000E+0	
45.410156	0.00000000E+0	
45.898438	0.00000000E+0	
46.386719	1.00000000E+0	
46.8750	4.00000000E+0	
47.363281	1.00000000E+0	
47.851563	0.00000000E+0	
48.339844	2.00000000E+0	
48.828125	1.00000000E+0	
49.316406	2.00000000E+0	
49.804688	1.00000000E+0	
50.292969	4.00000000E+0	
50.781250	3.00000000E+0	
51.269531	0.00000000E+0	
51.757813	0.00000000E+0	
52.246094	1.00000000E+0	
52.734375	1.00000000E+0	
53.222656	2.00000000E+0	
53.710938	2.00000000E+0	
54.199219	1.00000000E+0	
54.68750	0.00000000E+0	
55.175781	0.00000000E+0	
55.664063	2.00000000E+0	
56.152344	0.00000000E+0	
56.640625	2.00000000E+0	
57.128906	4.00000000E+0	
57.617188	3.00000000E+0	
58.105469	0.00000000E+0	
58.593750	2.00000000E+0	
59.082031	1.00000000E+0	
59.570313	0.00000000E+0	
60.058594	3.00000000E+0	
60.546875	5.00000000E+0	
61.035156	2.00000000E+1	
61.523438	7.20000000E+1	
62.011719	1.67000000E+2	
62.50	2.57000000E+2	
62.988281	2.94000000E+2	
63.476563	3.00000000E+2	
63.964844	2.62000000E+2	
64.453125	2.26000000E+2	
64.941406	2.20000000E+2	
65.429688	2.17000000E+2	
65.917969	1.91000000E+2	
66.406250	2.05000000E+2	
66.894531	1.94000000E+2	
67.382813	1.64000000E+2	
67.871094	1.86000000E+2	
68.359375	2.02000000E+2	
68.847656	1.74000000E+2	
69.335938	1.85000000E+2	
69.824219	1.61000000E+2	
70.31250	1.50000000E+2	
70.800781	1.63000000E+2	
71.289063	1.73000000E+2	
71.777344	1.44000000E+2	
72.265625	1.37000000E+2	
72.753906	1.62000000E+2	
73.242188	1.46000000E+2	
73.730469	1.57000000E+2	
74.218750	1.24000000E+2	
74.707031	1.22000000E+2	
75.195313	1.38000000E+2	
75.683594	1.22000000E+2	
76.171875	1.08000000E+2	
76.660156	1.33000000E+2	
77.148438	1.38000000E+2	
77.636719	1.25000000E+2	
78.1250	1.51000000E+2	
78.613281	1.44000000E+2	
79.101563	1.31000000E+2	
79.589844	1.18000000E+2	
80.078125	1.10000000E+2	
80.566406	1.15000000E+2	
81.054688	1.06000000E+2	
81.542969	1.02000000E+2	
82.031250	1.28000000E+2	
82.519531	1.16000000E+2	
83.007813	1.14000000E+2	
83.496094	9.90000000E+1	
83.984375	1.21000000E+2	
84.472656	1.26000000E+2	
84.960938	9.90000000E+1	
85.449219	1.01000000E+2	
85.93750	9.70000000E+1	
86.425781	1.18000000E+2	
86.914063	1.03000000E+2	
87.402344	1.09000000E+2	
87.890625	1.13000000E+2	
88.378906	1.14000000E+2	
88.867188	1.08000000E+2	
89.355469	1.01000000E+2	
89.843750	9.50000000E+1	
90.332031	1.11000000E+2	
90.820313	9.90000000E+1	
91.308594	9.60000000E+1	
91.796875	9.90000000E+1	
92.285156	1.00000000E+2	
92.773438	1.10000000E+2	
93.261719	1.05000000E+2	
93.750	8.60000000E+1	
94.238281	7.30000000E+1	
94.726563	1.02000000E+2	
95.214844	9.70000000E+1	
95.703125	1.00000000E+2	
96.191406	1.00000000E+2	
96.679688	8.50000000E+1	
97.167969	8.20000000E+1	
97.656250	9.50000000E+1	
98.144531	9.80000000E+1	
98.632813	1.01000000E+2	
99.121094	8.60000000E+1	
99.609375	9.10000000E+1	
100.097660	1.17000000E+2	
100.585940	9.70000000E+1	
101.074220	9.70000000E+1	
101.562500	8.50000000E+1	
102.050780	8.60000000E+1	
102.539060	8.40000000E+1	
103.027340	9.30000000E+1	
103.515630	7.90000000E+1	
104.003910	8.00000000E+1	
104.492190	8.70000000E+1	
104.980470	9.90000000E+1	
105.468750	9.50000000E+1	
105.95700	9.00000000E+1	
106.445310	8.40000000E+1	
106.933590	8.90000000E+1	
107.421880	9.80000000E+1	
107.910160	6.80000000E+1	
108.398440	7.10000000E+1	
108.886720	7.20000000E+1	
109.37500	7.70000000E+1	
109.863280	8.80000000E+1	
110.351560	8.30000000E+1	
110.839840	6.70000000E+1	
111.328130	8.80000000E+1	
111.816410	6.90000000E+1	
112.304690	8.40000000E+1	
112.79300	6.40000000E+1	
113.281250	8.10000000E+1	
113.769530	6.90000000E+1	
114.257810	9.30000000E+1	
114.746090	7.40000000E+1	
115.234380	8.70000000E+1	
115.722660	7.80000000E+1	
116.210940	5.80000000E+1	
116.699220	6.10000000E+1	
117.187500	9.20000000E+1	
117.675780	7.20000000E+1	
118.164060	8.90000000E+1	
118.652340	8.00000000E+1	
119.140630	7.10000000E+1	
119.628910	8.60000000E+1	
120.117190	6.80000000E+1	
120.605470	6.80000000E+1	
121.093750	6.70000000E+1	
121.58200	7.60000000E+1	
122.070310	6.80000000E+1	
122.558590	1.00000000E+2	
123.046880	7.60000000E+1	
123.535160	7.50000000E+1	
124.023440	7.80000000E+1	
124.511720	6.00000000E+1	
125.00	6.40000000E+1	
125.488280	6.10000000E+1	
125.976560	8.30000000E+1	
126.464840	6.90000000E+1	
126.953130	5.70000000E+1	
127.441410	6.20000000E+1	
127.929690	5.60000000E+1	
128.41800	7.60000000E+1	
128.906250	7.50000000E+1	
129.394530	8.00000000E+1	
129.882810	5.90000000E+1	
130.371090	7.10000000E+1	
130.859380	8.60000000E+1	
131.347660	5.80000000E+1	
131.835940	6.40000000E+1	
132.324220	6.20000000E+1	
132.812500	6.80000000E+1	
133.300780	6.30000000E+1	
133.789060	6.60000000E+1	
134.277340	5.30000000E+1	
134.765630	7.00000000E+1	
135.253910	6.90000000E+1	
135.742190	6.40000000E+1	
136.230470	6.10000000E+1	
136.718750	6.40000000E+1	
137.20700	5.40000000E+1	
137.695310	7.10000000E+1	
138.183590	6.40000000E+1	
138.671880	7.20000000E+1	
139.160160	6.40000000E+1	
139.648440	6.00000000E+1	
140.136720	6.90000000E+1	
140.62500	6.50000000E+1	
141.113280	7.20000000E+1	
141.601560	6.00000000E+1	
142.089840	7.40000000E+1	
142.578130	5.20000000E+1	
143.066410	6.50000000E+1	
143.554690	5.80000000E+1	
144.04300	5.20000000E+1	
144.531250	5.90000000E+1	
145.019530	6.30000000E+1	
145.507810	7.20000000E+1	
145.996090	6.00000000E+1	
146.484380	5.70000000E+1	
146.972660	5.80000000E+1	
147.460940	7.00000000E+1	
147.949220	6.00000000E+1	
148.437500	6.10000000E+1	
148.925780	5.80000000E+1	
149.414060	5.40000000E+1	
