Labels	APTMS_Br15_1M_1MHz_0	
Type	Time Scan	
Comment		
Start	0.00	
Stop	999.511720	
Step	0.48828125	
Fixed/Offset	 	
XAxis	Time(ns)	
YAxis	Counts	

149.414060	1.85000000E+2	
149.902340	1.56000000E+2	
150.390630	1.61000000E+2	
150.878910	1.63000000E+2	
151.367190	1.72000000E+2	
151.855470	1.69000000E+2	
152.343750	1.72000000E+2	
152.83200	1.63000000E+2	
153.320310	1.74000000E+2	
153.808590	1.55000000E+2	
154.296880	1.74000000E+2	
154.785160	1.51000000E+2	
155.273440	1.57000000E+2	
155.761720	1.67000000E+2	
156.2500	1.49000000E+2	
156.738280	1.70000000E+2	
157.226560	1.56000000E+2	
157.714840	1.74000000E+2	
158.203130	1.74000000E+2	
158.691410	1.76000000E+2	
159.179690	1.54000000E+2	
159.66800	1.53000000E+2	
160.156250	1.80000000E+2	
160.644530	1.76000000E+2	
161.132810	1.68000000E+2	
161.621090	1.68000000E+2	
162.109380	1.86000000E+2	
162.597660	1.59000000E+2	
163.085940	1.81000000E+2	
163.574220	1.70000000E+2	
164.062500	1.62000000E+2	
164.550780	1.87000000E+2	
165.039060	1.77000000E+2	
165.527340	1.34000000E+2	
166.015630	1.69000000E+2	
166.503910	1.49000000E+2	
166.992190	1.45000000E+2	
167.480470	1.88000000E+2	
167.968750	1.66000000E+2	
168.45700	1.61000000E+2	
168.945310	1.72000000E+2	
169.433590	1.67000000E+2	
169.921880	1.62000000E+2	
170.410160	1.60000000E+2	
170.898440	1.56000000E+2	
171.386720	1.55000000E+2	
171.87500	1.79000000E+2	
172.363280	1.72000000E+2	
172.851560	1.46000000E+2	
173.339840	1.55000000E+2	
173.828130	1.72000000E+2	
174.316410	1.65000000E+2	
174.804690	1.44000000E+2	
175.29300	1.66000000E+2	
175.781250	1.62000000E+2	
176.269530	1.61000000E+2	
176.757810	1.84000000E+2	
177.246090	1.39000000E+2	
177.734380	1.59000000E+2	
178.222660	1.55000000E+2	
178.710940	1.87000000E+2	
179.199220	1.53000000E+2	
179.687500	1.82000000E+2	
180.175780	1.33000000E+2	
180.664060	1.48000000E+2	
181.152340	1.68000000E+2	
181.640630	1.49000000E+2	
182.128910	1.52000000E+2	
182.617190	1.52000000E+2	
183.105470	1.53000000E+2	
183.593750	1.38000000E+2	
184.08200	1.45000000E+2	
184.570310	1.64000000E+2	
185.058590	1.61000000E+2	
185.546880	1.43000000E+2	
186.035160	1.54000000E+2	
186.523440	1.37000000E+2	
187.011720	1.54000000E+2	
187.500	1.57000000E+2	
187.988280	1.58000000E+2	
188.476560	1.48000000E+2	
188.964840	1.76000000E+2	
189.453130	1.61000000E+2	
189.941410	1.65000000E+2	
190.429690	1.57000000E+2	
190.91800	1.39000000E+2	
191.406250	1.46000000E+2	
191.894530	1.43000000E+2	
192.382810	1.51000000E+2	
192.871090	1.53000000E+2	
193.359380	1.47000000E+2	
193.847660	1.54000000E+2	
194.335940	1.48000000E+2	
194.824220	1.49000000E+2	
195.312500	1.67000000E+2	
195.800780	1.41000000E+2	
