Labels	Br15_1M_1MHz_0	
Type	Time Scan	
Comment		
Start	0.00	
Stop	999.511720	
Step	0.48828125	
Fixed/Offset	 	
XAxis	Time(ns)	
YAxis	Counts	

149.414060	2.40000000E+1	
149.902340	3.00000000E+1	
150.390630	3.50000000E+1	
150.878910	3.20000000E+1	
151.367190	2.50000000E+1	
151.855470	3.10000000E+1	
152.343750	2.30000000E+1	
152.83200	3.50000000E+1	
153.320310	2.10000000E+1	
153.808590	3.00000000E+1	
154.296880	2.90000000E+1	
154.785160	2.80000000E+1	
155.273440	3.20000000E+1	
155.761720	2.80000000E+1	
156.2500	2.60000000E+1	
156.738280	2.40000000E+1	
157.226560	3.20000000E+1	
157.714840	3.70000000E+1	
158.203130	2.50000000E+1	
158.691410	2.90000000E+1	
159.179690	2.70000000E+1	
159.66800	1.90000000E+1	
160.156250	2.40000000E+1	
160.644530	2.30000000E+1	
161.132810	3.30000000E+1	
161.621090	2.60000000E+1	
162.109380	3.60000000E+1	
162.597660	3.00000000E+1	
163.085940	1.80000000E+1	
163.574220	2.50000000E+1	
164.062500	1.70000000E+1	
164.550780	3.40000000E+1	
165.039060	2.50000000E+1	
165.527340	3.10000000E+1	
166.015630	2.80000000E+1	
166.503910	2.90000000E+1	
166.992190	2.50000000E+1	
167.480470	3.00000000E+1	
167.968750	2.40000000E+1	
168.45700	3.50000000E+1	
168.945310	3.50000000E+1	
169.433590	2.00000000E+1	
169.921880	3.20000000E+1	
170.410160	2.40000000E+1	
170.898440	2.40000000E+1	
171.386720	2.40000000E+1	
171.87500	2.10000000E+1	
172.363280	1.70000000E+1	
172.851560	2.20000000E+1	
173.339840	2.40000000E+1	
173.828130	2.10000000E+1	
174.316410	2.50000000E+1	
174.804690	2.40000000E+1	
175.29300	3.10000000E+1	
175.781250	3.30000000E+1	
176.269530	2.40000000E+1	
176.757810	2.50000000E+1	
177.246090	2.10000000E+1	
177.734380	2.60000000E+1	
178.222660	2.50000000E+1	
178.710940	2.10000000E+1	
179.199220	2.60000000E+1	
179.687500	2.50000000E+1	
180.175780	2.30000000E+1	
180.664060	2.90000000E+1	
181.152340	3.90000000E+1	
181.640630	3.60000000E+1	
182.128910	3.20000000E+1	
182.617190	2.50000000E+1	
183.105470	3.10000000E+1	
183.593750	3.10000000E+1	
184.08200	3.00000000E+1	
184.570310	2.80000000E+1	
185.058590	2.80000000E+1	
185.546880	3.00000000E+1	
186.035160	1.50000000E+1	
186.523440	2.40000000E+1	
187.011720	2.90000000E+1	
187.500	2.70000000E+1	
187.988280	3.10000000E+1	
188.476560	2.20000000E+1	
188.964840	2.30000000E+1	
189.453130	1.70000000E+1	
189.941410	2.20000000E+1	
190.429690	2.60000000E+1	
190.91800	2.80000000E+1	
191.406250	3.40000000E+1	
191.894530	2.90000000E+1	
192.382810	1.90000000E+1	
192.871090	3.80000000E+1	
193.359380	2.60000000E+1	
193.847660	2.50000000E+1	
194.335940	2.60000000E+1	
194.824220	3.10000000E+1	
195.312500	2.40000000E+1	
195.800780	2.20000000E+1	
