0,3
0.032,0
0.064,2
0.096,2
0.128,4
0.16,3
0.192,3
0.224,6
0.256,3
0.288,2
0.32,4
0.352,5
0.384,7
0.416,4
0.448,4
0.48,3
0.512,3
0.544,1
0.576,0
0.608,1
0.64,1
0.672,1
0.704,1
0.736,3
0.768,6
0.8,0
0.832,3
0.864,3
0.896,2
0.928,4
0.96,3
0.992,4
1.024,2
1.056,1
1.088,1
1.12,3
1.152,1
1.184,5
1.216,2
1.248,1
1.28,2
1.312,2
1.344,1
1.376,1
1.408,2
1.44,4
1.472,0
1.504,1
1.536,1
1.568,2
1.6,1
1.632,2
1.664,2
1.696,0
1.728,3
1.76,2
1.792,3
1.824,3
1.856,4
1.888,2
1.92,4
1.952,5
1.984,2
2.016,3
2.048,2
2.08,0
2.112,4
2.144,0
2.176,2
2.208,3
2.24,2
2.272,5
2.304,2
2.336,4
2.368,2
2.4,1
2.432,1
2.464,1
2.496,2
2.528,2
2.56,2
2.592,1
2.624,4
2.656,2
2.688,3
2.72,3
2.752,5
2.784,3
2.816,2
2.848,2
2.88,2
2.912,1
2.944,4
2.976,3
3.008,3
3.04,2
3.072,4
3.104,3
3.136,2
3.168,0
3.2,1
3.232,3
3.264,2
3.296,2
3.328,7
3.36,3
3.392,0
3.424,4
3.456,5
3.488,2
3.52,3
3.552,2
3.584,2
3.616,2
3.648,2
3.68,0
3.712,3
3.744,3
3.776,2
3.808,1
3.84,0
3.872,2
3.904,1
3.936,2
3.968,1
4,2
4.032,3
4.064,3
4.096,5
4.128,2
4.16,3
4.192,3
4.224,3
4.256,2
4.288,2
4.32,5
4.352,2
4.384,1
4.416,3
4.448,1
4.48,2
4.512,2
4.544,1
4.576,2
4.608,4
4.64,2
4.672,5
4.704,2
4.736,3
4.768,0
4.8,0
4.832,5
4.864,3
4.896,1
4.928,3
4.96,3
4.992,3
5.024,1
5.056,3
5.088,3
5.12,2
5.152,3
5.184,3
5.216,8
5.248,0
5.28,2
5.312,1
5.344,2
5.376,1
5.408,0
5.44,3
5.472,4
5.504,2
5.536,1
5.568,3
5.6,2
5.632,1
5.664,0
5.696,0
5.728,1
5.76,1
5.792,0
5.824,0
5.856,0
5.888,1
5.92,2
5.952,0
5.984,0
6.016,2
6.048,1
6.08,2
6.112,3
6.144,3
6.176,0
6.208,1
6.24,1
6.272,2
6.304,1
6.336,1
6.368,1
6.4,1
6.432,1
6.464,3
6.496,1
6.528,2
6.56,5
6.592,2
6.624,2
6.656,0
6.688,1
6.72,1
6.752,4
6.784,3
6.816,2
6.848,3
6.88,0
6.912,0
6.944,1
6.976,2
7.008,4
7.04,0
7.072,4
7.104,4
7.136,2
7.168,3
7.2,4
7.232,1
7.264,4
7.296,3
7.328,3
7.36,4
7.392,2
7.424,2
7.456,2
7.488,2
7.52,0
7.552,1
7.584,1
7.616,3
7.648,0
7.68,3
7.712,0
7.744,1
7.776,3
7.808,1
7.84,0
7.872,2
7.904,2
7.936,4
7.968,2
8,1
8.032,1
8.064,4
8.096,3
8.128,2
8.16,3
8.192,4
8.224,3
8.256,2
8.288,2
8.32,4
8.352,4
8.384,1
8.416,1
8.448,3
8.48,0
8.512,1
8.544,3
8.576,0
8.608,0
8.64,2
8.672,0
8.704,2
8.736,6
8.768,2
8.8,0
8.832,6
8.864,4
8.896,1
8.928,2
8.96,1
8.992,4
9.024,1
9.056,2
9.088,2
9.12,3
9.152,4
9.184,5
9.216,4
9.248,1
9.28,3
9.312,4
9.344,2
9.376,3
9.408,2
9.44,3
9.472,3
9.504,2
9.536,4
9.568,1
9.6,1
9.632,1
9.664,3
9.696,1
9.728,2
9.76,3
9.792,2
9.824,2
9.856,2
9.888,2
9.92,5
9.952,2
9.984,2
10.016,2
10.048,2
10.08,2
10.112,1
10.144,3
10.176,3
10.208,2
10.24,1
10.272,5
10.304,1
10.336,0
10.368,5
10.4,1
10.432,0
10.464,0
10.496,2
10.528,2
10.56,2
10.592,2
10.624,2
10.656,0
10.688,1
10.72,2
10.752,2
10.784,0
10.816,0
10.848,2
10.88,3
10.912,3
10.944,1
10.976,1
11.008,7
11.04,2
11.072,1
11.104,3
