Time,Counts,,,,,,,,,
0,1,2,1,2,0,3,0,0,0,0
0.128,0,2,1,4,0,1,1,2,0,0
0.256,2,2,1,3,2,3,0,3,1,2
0.384,0,3,4,0,6,1,1,3,4,0
0.512,1,4,1,1,1,2,1,0,0,0
0.64,1,2,3,2,5,5,2,4,2,0
0.768,0,0,0,1,2,3,1,3,0,0
0.896,3,3,1,3,3,3,1,1,0,1
1.024,1,4,2,2,4,2,0,1,1,0
1.152,1,6,2,2,2,5,0,0,4,2
1.28,2,3,1,1,1,1,1,2,4,0
1.408,4,1,0,6,5,3,1,0,1,0
1.536,2,2,2,2,1,2,0,3,1,0
1.664,3,3,2,1,0,1,2,2,7,1
1.792,3,3,0,1,3,2,1,1,1,0
1.92,0,2,1,2,3,2,1,4,1,0
2.048,0,3,0,0,0,0,0,4,0,0
2.176,3,2,0,2,0,1,2,1,1,0
2.304,1,0,3,1,4,1,1,0,4,4
2.432,1,3,1,3,1,2,0,3,1,1
2.56,3,3,1,1,4,4,0,3,1,1
2.688,5,1,3,5,0,2,0,2,1,2
2.816,1,1,0,2,1,3,2,7,0,1
2.944,2,4,0,0,3,1,2,2,3,0
3.072,2,1,2,3,2,6,0,2,2,3
3.2,0,5,2,2,1,1,0,3,0,0
3.328,1,3,4,0,2,1,1,2,0,3
3.456,1,4,0,3,2,0,0,0,1,0
3.584,4,1,2,3,2,1,1,1,1,1
3.712,3,1,1,1,3,3,0,4,1,0
3.84,1,1,4,2,5,0,0,3,3,0
3.968,2,0,1,1,0,3,0,2,0,1
4.096,1,3,1,4,6,5,1,2,4,1
4.224,0,0,1,2,3,2,0,3,0,1
4.352,1,1,4,0,3,2,1,5,2,0
4.48,1,2,1,2,0,3,1,1,2,0
4.608,0,3,3,3,1,2,3,1,1,1
4.736,3,4,3,3,2,2,0,4,1,0
4.864,1,1,1,1,2,4,1,2,0,1
4.992,2,0,1,1,3,2,2,2,1,1
5.12,2,0,3,1,3,3,0,3,3,1
5.248,0,4,0,3,2,1,0,4,1,0
5.376,1,5,4,1,0,2,3,2,0,1
5.504,1,5,2,0,0,1,0,2,1,1
5.632,0,3,2,3,3,0,0,2,1,2
5.76,3,3,1,1,2,0,0,1,0,2
5.888,0,4,2,3,4,1,2,3,1,1
6.016,2,2,2,2,2,1,1,2,1,0
6.144,1,0,0,1,0,4,0,1,0,0
6.272,1,2,0,2,5,1,2,3,1,1
6.4,3,4,1,5,3,4,0,4,1,1
6.528,1,7,0,0,2,4,1,2,2,0
6.656,1,2,1,3,5,2,0,0,1,1
6.784,2,2,2,3,1,3,4,6,4,1
6.912,1,1,1,1,1,0,1,2,1,1
7.04,1,5,2,0,4,3,0,4,1,1
7.168,1,4,0,4,1,1,2,3,1,3
7.296,3,2,0,2,4,4,2,2,3,2
7.424,1,4,4,2,2,3,1,2,2,0
7.552,4,2,2,1,3,1,0,2,1,0
7.68,2,3,2,3,2,0,2,1,2,1
7.808,4,2,1,2,1,5,0,3,1,1
7.936,3,2,1,3,6,3,0,4,2,1
8.064,2,3,3,4,4,3,1,1,2,0
8.192,2,1,2,0,6,4,4,1,2,0
8.32,5,5,4,2,5,1,7,3,3,3
8.448,14,9,14,6,6,2,7,10,7,3
8.576,9,11,30,8,16,7,16,20,5,1
8.704,34,30,51,19,32,21,33,30,32,14
8.832,101,85,107,29,73,33,77,59,74,24
8.96,188,145,233,62,168,84,167,125,138,53
9.088,332,234,404,127,307,106,295,181,204,69
9.216,436,374,535,190,438,162,401,272,343,107
9.344,580,558,671,259,602,252,559,379,456,130
9.472,681,687,789,316,738,346,688,464,535,165
9.6,850,789,872,408,830,408,819,567,626,187
9.728,925,858,863,420,944,434,892,605,667,209
9.856,925,871,1000,458,954,467,930,668,671,217
9.984,931,948,976,513,998,489,1000,707,713,231
10.112,930,1000,928,448,1000,500,889,751,750,223
10.24,925,963,952,488,932,493,955,697,712,223
10.368,932,903,907,442,987,494,902,737,743,251
10.496,1000,917,839,420,990,480,888,722,714,223
10.624,923,925,842,455,914,490,894,668,641,243
10.752,865,969,861,424,948,486,837,643,668,231
10.88,920,941,790,447,987,442,862,621,683,212
11.008,869,926,797,423,884,469,846,696,645,199
11.136,958,943,825,439,916,470,812,681,637,206
11.264,894,900,790,465,851,468,815,672,702,203
11.392,876,953,791,459,857,442,768,596,660,216
11.52,892,925,795,448,791,444,822,727,638,204
11.648,888,956,760,452,781,426,745,637,592,209
11.776,898,899,715,385,808,438,771,619,627,220
11.904,826,910,712,456,827,432,683,636,636,202
12.032,923,868,744,415,809,464,793,617,633,210
12.16,805,919,736,424,822,444,754,639,642,209
12.288,829,884,732,446,787,399,766,584,591,199
12.416,821,935,738,390,803,431,662,588,601,209
12.544,856,872,669,383,764,454,702,588,560,225
12.672,848,870,698,400,708,442,703,572,571,212
12.8,897,906,645,410,743,414,681,566,594,191
12.928,784,831,655,424,728,410,690,536,571,188
13.056,821,849,678,379,743,434,661,525,576,202
13.184,778,896,642,396,728,415,733,562,541,221
13.312,799,807,633,392,719,403,672,570,563,206
13.44,787,827,675,402,699,418,649,544,539,186
13.568,793,850,667,358,671,404,567,542,556,190
13.696,781,857,620,386,740,357,592,533,554,200
13.824,809,865,624,410,676,354,594,503,561,199
13.952,728,812,638,351,676,376,600,553,504,180
14.08,817,846,630,403,674,443,620,528,562,175
14.208,750,773,584,410,657,349,560,518,573,201
14.336,739,856,589,370,716,424,592,530,544,200
14.464,812,799,550,384,696,397,609,510,540,209
14.592,813,830,616,383,665,386,615,520,565,193
14.72,751,830,614,338,636,367,519,504,505,221
14.848,776,841,527,389,683,398,578,477,458,184
14.976,774,815,611,366,665,388,547,483,553,183
