Time (ns),Br25 Air 100pc,Br25 Air 50pc,Br25 Air 50pct7int,Br25 Glass 100pc,Br25 Glass 50pc,Br25 Glass 50pct7int,AlO Air 100pc,AlO Air 50pc,AlO Air 50pct7int,AlO Glass 100pc,AlO Glass 50pc,AlO Glass 50pct7int,Me4 Air 100pc,Me4 Air 50pc,Me4 Air 50pct7int,Me4 Glass 100pc,Me4 Glass 50pc,Me4 Glass 50pct7int
9.472,64,79,96,46,71,92,73,84,100,64,45,59,70,50,100,58,55,67
9.6,93,98,73,65,72,100,82,70,100,57,63,56,75,73,89,70,62,98
9.728,90,96,64,95,92,91,100,90,85,90,83,61,94,74,94,61,61,71
9.856,93,87,82,88,89,75,92,89,99,80,96,59,94,82,76,64,88,87
9.984,87,85,71,67,85,98,99,100,87,93,73,67,94,75,65,90,75,78
10.112,93,69,60,90,88,93,73,87,77,97,71,44,94,77,76,78,73,100
10.24,74,99,52,99,71,77,100,85,81,83,83,54,92,100,73,77,85,72
10.368,100,88,68,93,98,77,88,100,76,90,76,67,86,74,82,100,77,89
10.496,94,78,61,77,75,91,97,79,76,90,86,75,100,87,78,84,91,67
10.624,84,89,50,85,83,80,94,80,69,76,74,57,74,63,69,81,79,63
10.752,98,88,49,80,86,87,92,85,68,78,79,67,88,66,57,69,76,75
10.88,76,100,56,89,75,71,86,87,77,95,93,65,76,66,59,85,77,80
11.008,90,74,50,71,79,86,85,75,72,96,100,66,80,81,63,67,76,61
11.136,88,69,60,70,100,72,74,73,62,84,75,47,81,69,57,80,82,71
11.264,95,83,41,76,73,70,73,75,64,99,77,75,99,71,50,67,67,64
11.392,80,76,52,96,75,90,83,75,54,84,71,47,81,66,66,70,76,60
11.52,78,81,43,88,73,69,66,84,65,83,90,42,79,77,59,70,71,66
11.648,75,85,42,91,74,62,69,70,70,98,65,55,68,77,66,90,65,61
11.776,81,77,55,72,69,76,90,90,67,80,79,54,56,84,60,77,66,78
11.904,73,75,46,100,78,53,76,70,62,89,77,59,76,58,45,86,100,64
12.032,83,71,40,76,80,85,80,54,59,89,64,57,73,52,61,81,85,64
12.16,71,59,49,99,74,70,73,71,53,100,64,49,63,61,47,76,66,87
12.288,80,87,50,79,79,72,92,69,72,99,77,47,76,68,66,83,48,71
12.416,81,72,58,86,89,70,70,58,50,78,84,48,66,57,45,63,67,59
12.544,80,76,43,78,74,81,75,65,55,97,76,46,68,75,40,66,62,62
12.672,77,61,45,79,77,82,73,67,63,75,84,60,57,48,50,67,60,64
12.8,82,76,50,69,79,74,74,67,50,86,69,43,67,69,41,68,62,61
12.928,76,70,43,73,77,58,80,73,59,84,64,51,91,44,56,72,72,65
13.056,71,71,42,85,90,79,83,50,64,73,89,49,66,46,49,49,73,54
13.184,69,68,47,75,59,65,61,60,49,84,65,42,71,59,53,80,80,44
13.312,69,56,49,75,79,69,79,62,60,72,69,47,57,50,54,63,76,63
13.44,64,72,57,77,80,69,63,62,50,60,55,44,48,49,61,66,62,70
13.568,60,59,41,82,66,61,73,56,73,70,63,38,50,67,44,79,56,62
13.696,78,69,48,100,75,66,77,71,55,92,66,43,66,66,52,64,71,66
13.824,73,77,34,79,67,77,79,62,56,72,77,37,66,46,52,67,63,69
13.952,70,60,50,89,68,70,80,69,49,69,64,42,53,58,50,76,57,59
14.08,78,74,49,80,73,87,73,69,51,66,66,53,62,55,48,85,56,59
14.208,70,80,46,70,71,74,82,71,59,70,63,39,65,52,32,70,76,67
14.336,74,85,41,69,56,64,76,57,56,69,54,41,66,53,37,72,70,76
14.464,71,75,58,64,71,66,66,56,50,60,75,56,57,47,46,63,65,66
14.592,59,65,42,79,60,60,64,45,48,78,61,39,59,45,40,80,64,62
14.72,77,58,47,79,55,72,75,54,63,72,50,50,51,45,41,72,49,55
14.848,68,55,43,62,65,63,78,53,49,80,57,46,60,49,61,62,55,55
14.976,82,59,47,84,58,57,51,57,42,70,73,40,63,49,63,75,55,50
15.104,72,72,51,74,72,71,77,62,49,77,59,39,57,53,46,72,56,55
15.232,59,61,50,90,94,83,53,49,56,64,59,37,58,50,35,69,51,59
15.36,71,77,34,84,79,67,70,62,51,96,79,50,51,50,46,73,56,57
15.488,82,62,54,71,79,71,76,57,50,71,71,52,59,60,38,77,55,49
15.616,65,59,57,80,72,75,62,70,44,64,62,47,56,44,39,58,62,47
