#PicoHarp 300  Histogram Data			03/28/2023 12:14:22 PM
#channels per curve
15625
#display curve no.
0	1	2	3	
#memory block no.
0	1	2	3	
#ns/channel
0.1280	0.1280	0.1280	0.1280	
#counts
19	16	5	0	
12	12	13	0	
10	8	8	0	
13	18	5	0	
15	10	9	0	
10	8	10	0	
12	12	9	0	
10	15	12	0	
17	12	12	0	
24	9	7	0	
12	14	7	0	
9	11	9	0	
8	8	8	0	
12	5	7	0	
9	11	10	0	
17	16	2	0	
10	11	7	0	
13	16	5	0	
5	9	6	0	
11	15	8	0	
17	7	7	0	
9	7	8	0	
9	9	8	0	
15	14	12	1	
17	13	11	0	
11	19	7	0	
10	14	10	0	
10	8	10	0	
12	10	6	0	
14	5	6	0	
16	7	3	0	
10	13	7	0	
17	8	5	0	
16	12	4	0	
11	11	9	0	
11	7	7	0	
9	8	8	0	
10	12	8	0	
8	12	12	0	
13	8	9	0	
9	13	9	0	
9	8	9	1	
8	13	3	0	
15	9	8	0	
12	7	5	0	
9	8	4	0	
5	11	11	0	
14	11	10	0	
13	4	4	0	
10	10	6	0	
13	12	7	0	
12	10	6	0	
11	10	6	0	
13	8	8	0	
14	10	7	0	
16	8	2	0	
13	6	8	0	
15	11	6	0	
8	10	6	0	
19	12	8	0	
3	13	8	0	
17	8	12	1	
15	8	14	0	
9	15	5	0	
15	4	11	0	
13	12	7	0	
14	10	6	1	
10	7	13	0	
11	5	7	0	
14	11	3	0	
6	12	13	0	
14	13	0	0	
8	6	7	0	
14	13	4	0	
7	7	9	0	
8	4	4	0	
16	10	8	0	
11	14	8	0	
10	8	6	0	
7	8	5	0	
8	10	3	0	
9	10	6	0	
7	1	10	0	
9	5	5	0	
10	6	6	0	
16	13	4	1	
7	8	8	0	
12	15	11	0	
13	13	5	0	
9	5	14	0	
17	10	5	0	
8	3	5	1	
17	8	7	0	
11	6	5	0	
13	7	11	0	
6	3	7	0	
18	10	8	0	
11	7	7	0	
13	13	6	0	
5	5	5	0	
12	7	5	0	
9	10	8	0	
9	5	7	0	
8	10	7	0	
11	8	10	0	
9	11	3	0	
12	10	6	0	
13	7	7	0	
7	7	1	0	
9	4	8	0	
7	10	5	0	
8	9	7	0	
20	11	6	0	
10	8	6	0	
11	8	13	0	
16	20	9	0	
11	12	10	0	
17	3	7	0	
8	11	8	0	
9	13	6	1	
10	10	6	0	
7	7	6	0	
10	10	7	1	
8	7	8	1	
10	8	5	0	
13	10	8	0	
9	15	3	0	
6	8	4	0	
15	5	7	0	
10	10	2	0	
7	11	7	0	
10	16	7	0	
11	13	7	0	
10	10	7	0	
9	12	7	0	
6	7	7	0	
14	11	6	0	
13	10	6	0	
10	16	9	0	
13	12	7	0	
12	6	5	0	
12	17	7	0	
7	7	5	0	
16	7	5	0	
10	7	3	0	
12	9	14	0	
7	7	2	0	
13	10	3	0	
10	10	7	0	
14	13	5	0	
6	6	3	0	
10	11	9	0	
16	13	5	0	
11	9	8	0	
10	9	6	0	
12	8	4	0	
8	2	6	0	
8	8	1	0	
4	4	5	0	
7	6	7	0	
9	7	6	0	
9	13	8	0	
6	9	9	0	
5	4	7	0	
8	9	6	0	
7	9	7	0	
7	10	4	0	
6	10	5	1	
6	9	7	0	
17	9	6	0	
6	4	4	0	
8	10	8	0	
15	7	6	0	
8	5	5	0	
18	9	8	0	
8	6	4	0	
7	4	6	0	
10	11	7	0	
10	9	4	0	
9	8	8	0	
12	9	7	1	
9	8	5	0	
10	10	4	0	
7	12	4	0	
10	8	8	0	
8	6	5	0	
11	12	6	0	
9	7	8	0	
8	14	4	0	
10	7	4	0	
7	5	4	1	
7	8	6	0	
6	8	5	0	
10	5	6	0	
6	10	4	0	
11	7	3	0	
11	9	9	0	
19	4	3	0	
10	6	7	0	
8	6	2	0	
12	6	5	0	
12	4	5	0	
7	9	2	0	
12	7	6	0	
4	4	5	0	
4	14	5	0	
10	9	8	0	
5	8	11	0	
7	7	9	0	
7	6	5	1	
10	12	5	0	
11	4	8	0	
7	6	5	0	
10	13	4	0	
10	12	5	0	
5	8	7	0	
10	6	6	0	
5	9	5	0	
10	6	6	0	
9	8	7	0	
7	10	3	0	
9	4	4	0	
11	3	8	0	
8	8	4	0	
8	4	4	0	
6	10	5	1	
10	8	7	0	
10	8	6	0	
7	8	6	0	
7	4	4	0	
15	8	4	0	
5	5	5	0	
13	8	6	0	
9	9	4	0	
14	9	7	0	
11	10	9	0	
15	8	4	0	
15	9	9	0	
12	5	5	0	
8	4	3	0	
6	8	6	0	
9	10	7	0	
5	5	7	0	
13	9	4	0	
14	5	11	0	
12	7	6	0	
6	8	6	0	
6	4	10	0	
14	9	8	0	
14	8	3	0	
7	8	3	0	
11	6	8	0	
14	10	6	0	
10	5	3	0	
9	8	2	1	
10	5	4	1	
12	2	5	0	
8	3	8	0	
7	6	4	0	
4	5	7	0	
7	5	5	0	
8	4	3	0	
5	7	8	0	
17	10	4	0	
10	5	2	0	
8	10	4	0	
2	8	5	0	
9	4	2	0	
10	4	1	0	
11	8	2	0	
5	10	5	0	
8	13	2	0	
5	6	9	0	
11	9	7	1	
5	6	2	1	
9	1	7	0	
13	7	4	0	
11	5	5	1	
15	0	9	0	
3	7	4	0	
13	5	6	0	
9	7	7	0	
12	7	5	0	
8	7	3	0	
10	5	6	0	
5	7	4	0	
1	7	3	0	
13	5	4	0	
8	8	6	0	
7	8	1	0	
8	5	2	0	
3	8	4	0	
5	3	7	0	
11	3	6	0	
7	4	3	0	
5	7	4	0	
12	5	5	0	
6	7	2	0	
14	5	9	0	
3	4	4	0	
7	9	6	0	
9	3	4	0	
7	3	8	0	
7	9	6	0	
13	9	2	0	
7	9	3	0	
10	5	2	0	
9	11	6	1	
12	2	4	1	
7	1	2	0	
7	4	2	0	
11	5	3	0	
10	2	1	1	
14	5	1	0	
11	6	6	0	
9	6	9	0	
5	3	3	0	
12	5	5	0	
6	6	4	0	
7	8	4	0	
7	9	7	0	
9	8	8	1	
10	5	4	0	
10	4	4	1	
2	5	3	0	
13	11	5	0	
4	7	5	0	
13	5	3	0	
6	8	5	0	
9	6	5	0	
8	6	5	0	
4	11	5	1	
1	5	2	0	
10	8	4	0	
6	4	5	0	
10	7	1	0	
7	6	7	0	
6	6	4	0	
6	4	4	0	
10	4	6	0	
6	5	4	0	
7	4	3	0	
9	7	4	0	
6	4	9	0	
7	4	9	0	
3	7	8	0	
7	4	5	0	
7	1	4	0	
7	9	5	0	
9	10	7	0	
8	7	5	0	
11	10	1	0	
6	5	3	0	
7	4	5	0	
2	7	5	0	
4	6	5	0	
10	11	4	0	
10	9	6	0	
11	5	5	0	
4	7	6	0	
5	5	10	0	
8	5	6	0	
12	6	7	0	
5	7	2	0	
6	10	3	0	
10	6	4	0	
7	9	6	0	
5	5	6	0	
5	8	6	0	
4	7	4	0	
6	6	2	0	
8	3	10	0	
14	3	3	0	
7	3	5	0	
8	10	7	0	
7	6	5	0	
10	6	3	0	
6	8	6	0	
8	2	2	0	
8	6	7	0	
16	9	2	0	
5	6	5	0	
8	7	3	0	
11	6	5	0	
3	2	8	0	
14	3	5	0	
5	6	6	0	
10	4	10	0	
8	2	6	0	
8	3	5	0	
3	7	3	0	
8	2	2	0	
5	6	4	0	
8	4	4	0	
6	8	7	0	
3	10	8	0	
6	7	4	0	
5	6	6	0	
5	6	6	0	
6	6	5	0	
6	4	0	0	
7	6	3	0	
7	4	2	0	
12	6	1	0	
7	3	4	0	
6	9	5	0	
7	4	3	0	
7	5	4	0	
11	6	6	0	
7	9	11	0	
5	7	6	0	
7	8	6	0	
3	6	4	1	
9	7	7	0	
5	6	3	0	
9	5	2	0	
9	8	5	0	
7	7	6	0	
9	7	2	0	
7	4	4	0	
10	3	3	0	
4	5	3	0	
12	6	3	0	
8	6	2	0	
4	5	1	0	
1	8	6	0	
6	4	3	0	
10	2	5	0	
10	1	5	0	
4	7	2	0	
9	5	2	0	
2	4	2	0	
7	4	5	0	
6	10	2	0	
11	6	6	0	
8	7	4	0	
2	4	5	0	
6	5	3	0	
6	4	6	0	
3	8	2	0	
12	5	5	0	
10	5	9	0	
8	7	2	0	
5	7	4	0	
8	4	3	0	
4	9	4	0	
5	5	7	0	
3	2	10	0	
5	4	5	0	
5	6	0	0	
7	4	3	0	
3	4	4	0	
7	3	4	0	
7	11	7	0	
5	6	1	0	
8	4	7	0	
9	9	5	0	
5	9	2	0	
6	7	2	0	
13	4	2	0	
7	2	2	0	
5	3	1	0	
10	4	7	0	
9	2	2	0	
6	3	4	0	
9	4	7	0	
3	3	5	0	
9	4	5	0	
3	2	2	0	
7	4	9	0	
9	6	9	0	
6	5	2	0	
2	5	7	1	
3	8	7	0	
6	4	8	2	
12	4	5	0	
8	8	2	0	
8	8	5	0	
1	10	5	1	
10	3	5	0	
2	6	3	0	
2	5	3	0	
5	0	3	0	
6	5	4	0	
5	5	3	0	
6	5	6	0	
9	5	7	0	
5	3	3	0	
5	7	7	0	
5	3	2	0	
7	6	7	0	
6	2	4	1	
4	5	4	0	
7	2	6	0	
8	6	3	0	
10	8	1	0	
5	4	6	0	
7	1	3	0	
3	4	2	0	
6	7	8	0	
8	3	4	0	
5	7	4	0	
4	5	5	0	
12	1	7	0	
4	2	6	0	
1	6	2	0	
7	5	5	0	
3	7	4	0	
6	7	4	0	
6	7	3	0	
5	6	1	0	
4	3	4	0	
4	3	3	0	
5	4	4	0	
8	6	7	0	
5	2	3	0	
8	4	1	0	
4	10	6	0	
9	5	4	0	
4	2	7	0	
5	2	5	0	
6	4	2	0	
4	4	0	0	
9	1	4	0	
8	2	3	0	
2	4	2	0	
6	7	4	0	
6	7	6	0	
5	4	8	0	
6	6	2	0	
4	2	3	0	
6	2	6	0	
9	4	1	0	
7	5	2	0	
5	2	4	0	
6	2	3	0	
5	7	4	0	
5	4	5	1	
5	6	5	0	
3	9	4	0	
5	0	3	0	
6	5	2	0	
13	6	3	0	
7	3	2	0	
5	1	1	0	
3	3	3	0	
1	7	2	0	
6	4	3	0	
7	5	2	0	
6	6	8	0	
9	2	6	0	
4	2	6	0	
9	10	4	0	
7	3	5	0	
4	5	2	0	
9	6	3	0	
3	3	6	0	
6	5	8	0	
5	5	2	0	
3	4	3	0	
3	2	5	0	
12	5	8	0	
5	8	6	0	
5	9	6	0	
6	3	3	0	
5	1	2	0	
4	4	4	0	
0	7	9	0	
6	2	3	0	
8	4	5	0	
11	1	3	0	
6	3	2	0	
5	4	5	0	
8	6	5	0	
3	6	1	0	
3	8	6	0	
9	5	2	0	
8	6	5	0	
2	3	3	0	
8	3	7	0	
10	4	2	0	
8	3	2	0	
5	3	7	1	
5	7	7	0	
8	4	2	0	
3	6	2	0	
8	6	1	0	
6	0	2	0	
8	2	6	0	
9	7	3	1	
9	3	3	0	
3	3	3	0	
5	4	3	0	
3	6	7	0	
4	3	3	0	
6	5	4	0	
5	1	5	0	
4	1	3	0	
4	3	3	1	
6	3	5	0	
1	6	2	0	
4	6	1	0	
7	7	2	0	
4	2	2	0	
3	5	2	0	
7	5	5	0	
6	3	4	0	
9	3	4	0	
8	6	4	0	
5	2	5	0	
3	4	6	0	
7	5	4	0	
6	3	3	0	
1	9	2	0	
6	2	5	0	
2	5	0	0	
3	3	6	0	
4	1	2	0	
6	4	5	0	
10	2	1	0	
2	6	3	0	
2	3	4	0	
4	3	5	0	
5	1	4	0	
3	4	1	0	
4	2	4	0	
7	3	0	0	
2	5	4	0	
3	5	6	0	
6	5	4	0	
4	5	3	0	
2	6	2	0	
8	3	2	0	
6	1	3	0	
6	2	1	0	
4	3	5	0	
3	2	3	0	
7	5	1	0	
6	3	5	0	
4	9	4	0	
2	5	0	0	
6	6	6	0	
13	2	4	0	
7	5	1	0	
6	3	3	0	
4	1	2	0	
3	7	3	0	
1	5	2	0	
2	5	5	0	
3	4	2	0	
2	5	1	0	
2	8	8	0	
5	2	3	0	
11	3	3	0	
6	5	2	0	
5	3	8	0	
7	2	1	0	
5	4	3	0	
4	6	7	0	
9	2	5	0	
9	2	8	0	
3	5	2	0	
4	7	3	0	
7	7	8	0	
3	2	5	0	
5	0	5	0	
3	4	9	0	
6	3	5	0	
6	5	3	0	
7	2	8	0	
7	3	5	0	
4	5	4	0	
4	6	4	0	
5	2	3	0	
3	2	2	0	
3	6	4	0	
6	5	3	0	
10	4	3	0	
10	1	4	0	
5	3	1	0	
6	3	2	0	
7	3	4	0	
5	3	0	0	
3	5	4	0	
3	4	3	0	
3	2	5	0	
8	3	4	0	
4	6	6	0	
9	4	6	0	
3	1	6	0	
7	7	1	0	
5	9	6	0	
7	5	3	0	
5	6	4	0	
4	3	6	0	
4	4	5	0	
7	7	5	0	
4	1	3	0	
0	5	5	0	
7	4	1	0	
3	9	6	0	
2	8	7	0	
7	9	1	1	
5	4	8	0	
12	0	2	0	
4	2	1	0	
4	6	1	0	
9	3	2	0	
3	4	4	0	
3	4	4	0	
5	4	1	0	
6	4	3	0	
8	2	4	0	
8	6	0	0	
5	6	1	0	
4	6	4	0	
3	4	4	0	
6	3	1	0	
8	3	3	0	
7	2	3	0	
4	6	4	0	
6	1	3	2	
5	6	6	0	
5	4	4	0	
5	4	7	0	
4	4	1	0	
5	2	4	0	
4	1	3	0	
2	2	4	0	
4	1	3	0	
10	4	0	0	
3	3	5	0	
7	2	2	0	
6	3	2	0	
11	4	1	0	
5	5	4	0	
1	5	2	0	
2	2	3	0	
2	4	4	0	
7	2	1	0	
3	2	5	0	
7	1	3	0	
10	1	4	0	
9	3	1	0	
7	3	6	0	
5	3	0	0	
3	3	4	0	
2	5	1	0	
6	7	4	0	
9	5	5	0	
7	2	1	0	
2	5	2	0	
6	4	4	1	
6	6	1	0	
1	1	4	0	
7	1	5	0	
3	3	2	0	
3	4	3	0	
8	1	3	0	
7	4	2	0	
6	6	3	0	
6	0	3	0	
2	4	1	0	
6	2	3	0	
7	1	3	0	
7	2	5	0	
0	2	5	0	
6	6	2	0	
4	4	3	0	
2	8	4	0	
3	2	2	0	
3	2	3	0	
4	1	5	0	
4	2	2	0	
8	1	3	0	
8	3	1	0	
4	7	4	0	
6	3	3	0	
3	2	4	0	
4	3	2	0	
6	4	3	0	
4	4	6	0	
4	3	0	0	
2	7	1	0	
7	3	3	0	
6	3	1	0	
2	2	4	0	
5	6	3	0	
5	3	1	0	
5	2	7	0	
4	5	2	0	
6	5	3	0	
5	2	0	0	
5	5	2	0	
4	6	3	0	
2	3	3	0	
7	1	5	0	
4	2	1	0	
4	3	4	0	
4	3	1	0	
4	2	1	0	
